current_mA,ch1_V,ch3_V
72.01,0.20920,-0.00118
72.02,0.20851,-0.00118
72.03,0.20977,-0.00117
72.04,0.20934,-0.00116
72.05,0.20912,-0.00116
72.06,0.20952,-0.00118
72.07,0.20926,-0.00117
72.08,0.20957,-0.00117
72.09,0.20962,-0.00117
72.10,0.20939,-0.00117
72.11,0.20975,-0.00117
72.12,0.21020,-0.00117
72.13,0.21044,-0.00117
72.14,0.21084,-0.00116
72.15,0.21022,-0.00118
72.16,0.20877,-0.00116
72.17,0.20769,-0.00115
72.18,0.20721,-0.00114
72.19,0.20718,-0.00114
72.20,0.20761,-0.00114
72.21,0.20843,-0.00114
72.22,0.20873,-0.00116
72.23,0.20864,-0.00112
72.24,0.20918,-0.00113
72.25,0.20895,-0.00114
72.26,0.20862,-0.00113
72.27,0.20776,-0.00111
72.28,0.20739,-0.00110
72.29,0.20760,-0.00109
72.30,0.20717,-0.00107
72.31,0.20679,-0.00106
72.32,0.20670,-0.00101
72.33,0.20743,-0.00101
72.34,0.20758,-0.00102
72.35,0.20731,-0.00102
72.36,0.20840,-0.00103
72.37,0.20814,-0.00102
72.38,0.20888,-0.00093
72.39,0.20880,-0.00101
72.40,0.20838,-0.00106
72.41,0.20773,-0.00087
72.42,0.20762,-0.00070
72.43,0.20845,-0.00052
72.44,0.20817,-0.00047
72.45,0.20687,-0.00112
72.46,0.20375,-0.00106
72.47,0.20328,-0.00059
72.48,0.20441,-0.00072
72.49,0.20521,-0.00068
72.50,0.20528,-0.00050
72.51,0.20333,0.00026
72.52,0.20240,-0.00144
72.53,0.20433,-0.00119
72.54,0.20263,0.00090
72.55,0.20431,-0.00110
72.56,0.20376,0.00193
72.57,0.20144,-0.00177
72.58,0.19924,0.00246
72.59,0.19898,0.00282
72.60,0.19998,0.00773
72.61,0.19624,0.01627
72.62,0.19262,0.03472
72.63,0.18909,-0.03794
72.64,0.18691,-0.04932
72.65,0.16756,-0.04058
72.66,0.16703,-0.01997
72.67,0.18751,-0.01004
72.68,0.19118,-0.00669
72.69,0.19238,-0.00584
72.70,0.19741,-0.00471
72.71,0.20253,-0.00333
72.72,0.20233,-0.00304
72.73,0.20492,-0.00256
72.74,0.20630,-0.00246
72.75,0.20720,-0.00230
72.76,0.20849,-0.00214
72.77,0.20840,-0.00201
72.78,0.20888,-0.00196
72.79,0.20887,-0.00190
72.80,0.20851,-0.00187
72.81,0.21008,-0.00182
72.82,0.20996,-0.00180
72.83,0.20995,-0.00173
72.84,0.21045,-0.00174
72.85,0.21064,-0.00171
72.86,0.21104,-0.00169
72.87,0.21057,-0.00168
72.88,0.21114,-0.00167
72.89,0.21063,-0.00165
72.90,0.21088,-0.00163
72.91,0.21135,-0.00162
72.92,0.21179,-0.00160
72.93,0.21108,-0.00160
72.94,0.21068,-0.00158
72.95,0.21144,-0.00157
72.96,0.21183,-0.00157
72.97,0.21236,-0.00157
72.98,0.21132,-0.00155
72.99,0.21122,-0.00155
73.00,0.21118,-0.00154
73.01,0.21187,-0.00154
73.02,0.21196,-0.00153
73.03,0.21180,-0.00155
73.04,0.21208,-0.00153
73.05,0.21124,-0.00153
73.06,0.21193,-0.00153
73.07,0.21241,-0.00152
73.08,0.21241,-0.00151
73.09,0.21207,-0.00152
73.10,0.21285,-0.00151
73.11,0.21291,-0.00151
73.12,0.21216,-0.00150
73.13,0.21307,-0.00148
73.14,0.21191,-0.00149
73.15,0.21261,-0.00149
73.16,0.21236,-0.00149
73.17,0.21296,-0.00149
73.18,0.21266,-0.00148
73.19,0.21239,-0.00148
73.20,0.21328,-0.00148
73.21,0.21293,-0.00148
73.22,0.21290,-0.00148
73.23,0.21213,-0.00147
73.24,0.21302,-0.00146
73.25,0.21331,-0.00149
73.26,0.21242,-0.00148
73.27,0.21394,-0.00148
73.28,0.21381,-0.00147
73.29,0.21221,-0.00145
73.30,0.21375,-0.00144
73.31,0.21295,-0.00145
73.32,0.21385,-0.00145
73.33,0.21279,-0.00144
73.34,0.21345,-0.00143
73.35,0.21339,-0.00142
73.36,0.21350,-0.00142
73.37,0.21317,-0.00142
73.38,0.21294,-0.00142
73.39,0.21247,-0.00142
73.40,0.21248,-0.00143
73.41,0.21334,-0.00142
73.42,0.21351,-0.00143
73.43,0.21354,-0.00141
73.44,0.21370,-0.00141
73.45,0.21363,-0.00142
73.46,0.21365,-0.00142
73.47,0.21444,-0.00140
73.48,0.21377,-0.00142
73.49,0.21418,-0.00142
73.50,0.21413,-0.00142
73.51,0.21361,-0.00140
73.52,0.21434,-0.00142
73.53,0.21460,-0.00141
73.54,0.21381,-0.00142
73.55,0.21355,-0.00141
73.56,0.21429,-0.00141
73.57,0.21434,-0.00141
73.58,0.21325,-0.00142
73.59,0.21445,-0.00142
73.60,0.21347,-0.00141
73.61,0.21507,-0.00143
73.62,0.21398,-0.00143
73.63,0.21408,-0.00142
73.64,0.21396,-0.00141
73.65,0.21380,-0.00142
73.66,0.21354,-0.00141
73.67,0.21355,-0.00140
73.68,0.21490,-0.00142
73.69,0.21446,-0.00140
73.70,0.21419,-0.00140
73.71,0.21473,-0.00141
73.72,0.21352,-0.00141
73.73,0.21411,-0.00139
73.74,0.21516,-0.00138
73.75,0.21490,-0.00139
73.76,0.21450,-0.00138
73.77,0.21522,-0.00138
73.78,0.21482,-0.00137
73.79,0.21451,-0.00137
73.80,0.21493,-0.00136
73.81,0.21469,-0.00138
73.82,0.21546,-0.00139
73.83,0.21505,-0.00141
73.84,0.21507,-0.00139
73.85,0.21557,-0.00139
73.86,0.21473,-0.00141
73.87,0.21544,-0.00139
73.88,0.21468,-0.00140
73.89,0.21478,-0.00141
73.90,0.21507,-0.00141
73.91,0.21575,-0.00141
73.92,0.21605,-0.00141
73.93,0.21492,-0.00141
73.94,0.21537,-0.00140
73.95,0.21562,-0.00141
73.96,0.21540,-0.00140
73.97,0.21594,-0.00141
73.98,0.21523,-0.00141
73.99,0.21535,-0.00140
74.00,0.21520,-0.00139
