current_mA,ch1_V,ch3_V
72.01,0.10637,-0.00124
72.02,0.10622,-0.00126
72.03,0.10621,-0.00125
72.04,0.10636,-0.00124
72.05,0.10611,-0.00124
72.06,0.10635,-0.00124
72.07,0.10621,-0.00124
72.08,0.10645,-0.00123
72.09,0.10620,-0.00121
72.10,0.10639,-0.00122
72.11,0.10649,-0.00123
72.12,0.10671,-0.00123
72.13,0.10662,-0.00122
72.14,0.10661,-0.00122
72.15,0.10603,-0.00123
72.16,0.10561,-0.00121
72.17,0.10545,-0.00124
72.18,0.10484,-0.00123
72.19,0.10462,-0.00121
72.20,0.10491,-0.00123
72.21,0.10438,-0.00122
72.22,0.10545,-0.00122
72.23,0.10580,-0.00122
72.24,0.10563,-0.00123
72.25,0.10558,-0.00123
72.26,0.10553,-0.00120
72.27,0.10500,-0.00120
72.28,0.10471,-0.00119
72.29,0.10473,-0.00120
72.30,0.10455,-0.00118
72.31,0.10446,-0.00118
72.32,0.10450,-0.00114
72.33,0.10504,-0.00112
72.34,0.10474,-0.00113
72.35,0.10495,-0.00112
72.36,0.10512,-0.00114
72.37,0.10535,-0.00109
72.38,0.10546,-0.00110
72.39,0.10513,-0.00114
72.40,0.10488,-0.00135
72.41,0.10457,-0.00099
72.42,0.10488,-0.00095
72.43,0.10478,-0.00066
72.44,0.10447,-0.00118
72.45,0.10288,-0.00143
72.46,0.10276,-0.00080
72.47,0.10248,-0.00071
72.48,0.10327,-0.00059
72.49,0.10352,-0.00083
72.50,0.10358,-0.00078
72.51,0.10282,-0.00042
72.52,0.10111,0.00004
72.53,0.10249,-0.00353
72.54,0.10114,-0.00127
72.55,0.10289,-0.00105
72.56,0.10212,0.00046
72.57,0.10041,0.00113
72.58,0.09842,0.00269
72.59,0.09899,0.00320
72.60,0.09547,0.00605
72.61,0.09310,0.01707
72.62,0.08821,0.03093
72.63,0.08754,-0.00653
72.64,0.09010,-0.04213
72.65,0.08521,-0.02946
72.66,0.08035,-0.01256
72.67,0.08994,-0.00764
72.68,0.09157,-0.00570
72.69,0.09668,-0.00422
72.70,0.10006,-0.00305
72.71,0.10112,-0.00241
72.72,0.10296,-0.00209
72.73,0.10381,-0.00203
72.74,0.10484,-0.00187
72.75,0.10521,-0.00181
72.76,0.10553,-0.00175
72.77,0.10587,-0.00171
72.78,0.10618,-0.00164
72.79,0.10619,-0.00161
72.80,0.10620,-0.00161
72.81,0.10646,-0.00158
72.82,0.10668,-0.00158
72.83,0.10680,-0.00156
72.84,0.10642,-0.00155
72.85,0.10675,-0.00153
72.86,0.10659,-0.00154
72.87,0.10674,-0.00152
72.88,0.10703,-0.00152
72.89,0.10729,-0.00150
72.90,0.10691,-0.00150
72.91,0.10729,-0.00150
72.92,0.10713,-0.00149
72.93,0.10694,-0.00149
72.94,0.10732,-0.00149
72.95,0.10751,-0.00148
72.96,0.10711,-0.00147
72.97,0.10748,-0.00147
72.98,0.10718,-0.00146
72.99,0.10745,-0.00146
73.00,0.10737,-0.00145
73.01,0.10742,-0.00144
73.02,0.10724,-0.00145
73.03,0.10773,-0.00146
73.04,0.10745,-0.00145
73.05,0.10765,-0.00145
73.06,0.10776,-0.00143
73.07,0.10774,-0.00143
73.08,0.10780,-0.00143
73.09,0.10781,-0.00143
73.10,0.10741,-0.00141
73.11,0.10780,-0.00142
73.12,0.10790,-0.00141
73.13,0.10755,-0.00142
73.14,0.10777,-0.00140
73.15,0.10781,-0.00139
73.16,0.10757,-0.00139
73.17,0.10761,-0.00138
73.18,0.10809,-0.00140
73.19,0.10749,-0.00140
73.20,0.10804,-0.00138
73.21,0.10756,-0.00139
73.22,0.10785,-0.00138
73.23,0.10760,-0.00139
73.24,0.10790,-0.00137
73.25,0.10809,-0.00139
73.26,0.10742,-0.00139
73.27,0.10849,-0.00138
73.28,0.10807,-0.00137
73.29,0.10778,-0.00137
73.30,0.10821,-0.00137
73.31,0.10825,-0.00138
73.32,0.10781,-0.00138
73.33,0.10843,-0.00139
73.34,0.10825,-0.00138
73.35,0.10809,-0.00138
