current_mA,voltage_V
72.01,0.68518
72.02,0.68890
72.03,0.69017
72.04,0.68904
72.05,0.68879
72.06,0.68840
72.07,0.68836
72.08,0.69011
72.09,0.69131
72.10,0.68865
72.11,0.68935
72.12,0.69022
72.13,0.68870
72.14,0.68917
72.15,0.69004
72.16,0.68914
72.17,0.68984
72.18,0.68929
72.19,0.68810
72.20,0.68643
72.21,0.68606
72.22,0.68807
72.23,0.68633
72.24,0.69144
72.25,0.68780
72.26,0.69090
72.27,0.68986
72.28,0.69058
72.29,0.69262
72.30,0.69059
72.31,0.69022
72.32,0.69056
72.33,0.69339
72.34,0.69067
72.35,0.69063
72.36,0.69239
72.37,0.69164
72.38,0.69139
72.39,0.69428
72.40,0.69217
72.41,0.68882
72.42,0.69107
72.43,0.69044
72.44,0.69019
72.45,0.69251
72.46,0.69241
72.47,0.69200
72.48,0.69366
72.49,0.69500
72.50,0.69223
72.51,0.69057
72.52,0.68865
72.53,0.69074
72.54,0.69133
72.55,0.68913
72.56,0.68954
72.57,0.68953
72.58,0.69086
72.59,0.69138
72.60,0.69380
72.61,0.69242
72.62,0.69158
72.63,0.69103
72.64,0.69086
72.65,0.69199
72.66,0.69190
72.67,0.69142
72.68,0.69070
72.69,0.68562
72.70,0.68700
72.71,0.68505
72.72,0.68557
72.73,0.68708
72.74,0.68658
72.75,0.68670
72.76,0.69138
72.77,0.69372
72.78,0.69638
72.79,0.69480
72.80,0.69513
72.81,0.70014
72.82,0.69896
72.83,0.70429
72.84,0.70841
72.85,0.70797
72.86,0.69080
72.87,0.67574
72.88,0.66279
72.89,0.66911
72.90,0.67490
72.91,0.68272
72.92,0.68681
72.93,0.69176
72.94,0.69351
72.95,0.69384
72.96,0.69699
72.97,0.69878
72.98,0.69609
72.99,0.69643
73.00,0.69929
73.01,0.69958
73.02,0.69858
73.03,0.69996
73.04,0.70008
73.05,0.69967
73.06,0.70073
73.07,0.69938
73.08,0.69929
73.09,0.70108
73.10,0.70223
73.11,0.70107
73.12,0.70113
73.13,0.70247
73.14,0.69956
73.15,0.69933
73.16,0.70062
73.17,0.70249
73.18,0.69982
73.19,0.70055
73.20,0.70245
73.21,0.70049
73.22,0.70239
73.23,0.70155
73.24,0.70244
73.25,0.70173
73.26,0.69952
73.27,0.70095
73.28,0.70047
73.29,0.70437
73.30,0.70194
73.31,0.70036
73.32,0.70078
73.33,0.69907
73.34,0.70281
73.35,0.70048
73.36,0.70138
73.37,0.70216
73.38,0.70256
73.39,0.70398
73.40,0.70328
73.41,0.70216
73.42,0.70236
73.43,0.70324
73.44,0.70183
73.45,0.70123
73.46,0.70408
73.47,0.70589
73.48,0.70424
73.49,0.70376
73.50,0.70353
73.51,0.70383
73.52,0.70445
73.53,0.70540
73.54,0.70404
73.55,0.70550
73.56,0.70489
73.57,0.70553
73.58,0.70567
73.59,0.70623
73.60,0.70653
73.61,0.70818
73.62,0.70671
73.63,0.70607
73.64,0.70649
73.65,0.70717
73.66,0.70785
73.67,0.70583
73.68,0.70670
73.69,0.70810
73.70,0.70494
73.71,0.70733
73.72,0.70582
73.73,0.70855
73.74,0.70599
73.75,0.70893
73.76,0.70598
73.77,0.70528
73.78,0.70825
73.79,0.70754
73.80,0.71022
73.81,0.70629
73.82,0.70901
73.83,0.70927
73.84,0.70826
73.85,0.71044
73.86,0.70711
73.87,0.70907
73.88,0.70721
73.89,0.70763
73.90,0.70660
73.91,0.70830
73.92,0.70931
73.93,0.70868
73.94,0.70928
73.95,0.70869
73.96,0.70663
73.97,0.70793
73.98,0.70946
73.99,0.70942
74.00,0.70771
