l2_pos_deg,ch1_V,ch3_V
3.0000,0.00049,0.0737
6.0000,0.00049,0.08649
9.0000,0.0005,0.09795
12.0000,0.0005,0.10761
15.0000,0.00051,0.11493
18.0000,0.00051,0.11935
21.0000,0.00051,0.121
24.0000,0.00051,0.11991
27.0000,0.0005,0.11587
30.0000,0.00051,0.10927
33.0000,0.0005,0.10033
36.0000,0.0005,0.08917
39.0000,0.00049,0.07679
42.0000,0.00049,0.06319
45.0000,0.00049,0.0494
48.0000,0.00048,0.03579
51.0000,0.00048,0.02297
54.0000,0.00047,0.0116
57.0000,0.00047,0.00206
60.0000,0.00047,-0.00511
63.0000,0.00047,-0.0097
66.0000,0.00047,-0.01147
69.0000,0.00047,-0.01038
72.0000,0.00047,-0.00646
75.0000,0.00047,0.00014
78.0000,0.00047,0.00911
81.0000,0.00047,0.02007
84.0000,0.00048,0.03253
87.0000,0.00048,0.04594
90.0000,0.0005,0.05964
