current_mA,voltage_V
72.01,0.46930
72.02,0.47025
72.03,0.46926
72.04,0.46768
72.05,0.46885
72.06,0.46982
72.07,0.47017
72.08,0.46960
72.09,0.46858
72.10,0.46901
72.11,0.46932
72.12,0.46937
72.13,0.47000
72.14,0.47133
72.15,0.47105
72.16,0.46983
72.17,0.47062
72.18,0.47038
72.19,0.47073
72.20,0.47045
72.21,0.46896
72.22,0.46966
72.23,0.47040
72.24,0.47026
72.25,0.47106
72.26,0.47062
72.27,0.47012
72.28,0.47207
72.29,0.47243
72.30,0.47108
72.31,0.47315
72.32,0.47480
72.33,0.47513
72.34,0.47565
72.35,0.47061
72.36,0.46831
72.37,0.46636
72.38,0.46460
72.39,0.46410
72.40,0.46411
72.41,0.46658
72.42,0.46761
72.43,0.46938
72.44,0.47069
72.45,0.47087
72.46,0.46976
72.47,0.46705
72.48,0.46676
72.49,0.46653
72.50,0.46419
72.51,0.46365
72.52,0.46449
72.53,0.46485
72.54,0.46566
72.55,0.46648
72.56,0.46713
72.57,0.46822
72.58,0.46945
72.59,0.47021
72.60,0.46976
72.61,0.46842
72.62,0.46826
72.63,0.46770
72.64,0.46522
72.65,0.45899
72.66,0.45151
72.67,0.45118
72.68,0.45212
72.69,0.45499
72.70,0.45545
72.71,0.45808
72.72,0.46213
72.73,0.46460
72.74,0.46668
72.75,0.46512
72.76,0.46491
72.77,0.47434
72.78,0.47613
72.79,0.47854
72.80,0.47965
72.81,0.46557
72.82,0.43812
72.83,0.46276
72.84,0.45275
72.85,0.42935
72.86,0.43330
72.87,0.44440
72.88,0.45121
72.89,0.45794
72.90,0.46297
72.91,0.46762
72.92,0.47024
72.93,0.47259
72.94,0.47522
72.95,0.47625
72.96,0.47637
72.97,0.47770
72.98,0.47642
72.99,0.47767
73.00,0.47762
73.01,0.47738
73.02,0.47802
73.03,0.47688
73.04,0.47665
73.05,0.47926
73.06,0.47871
73.07,0.47816
73.08,0.47811
73.09,0.47852
73.10,0.47859
73.11,0.47784
73.12,0.47762
73.13,0.47801
73.14,0.47871
73.15,0.47915
73.16,0.47850
73.17,0.47800
73.18,0.47948
73.19,0.47913
73.20,0.47859
73.21,0.47943
73.22,0.47865
73.23,0.47772
73.24,0.47885
73.25,0.47987
73.26,0.48027
73.27,0.48096
73.28,0.47969
73.29,0.48024
73.30,0.47909
73.31,0.47959
73.32,0.47899
73.33,0.47892
73.34,0.47935
73.35,0.47883
73.36,0.48042
73.37,0.48139
73.38,0.48156
73.39,0.48106
73.40,0.48027
73.41,0.48078
73.42,0.48096
73.43,0.48105
73.44,0.48158
73.45,0.48147
73.46,0.47961
73.47,0.47928
73.48,0.47776
73.49,0.47829
73.50,0.47941
73.51,0.48110
73.52,0.48066
73.53,0.48129
73.54,0.48076
73.55,0.48107
73.56,0.48116
73.57,0.48103
73.58,0.48015
73.59,0.47936
73.60,0.48114
73.61,0.48202
73.62,0.48277
73.63,0.48260
73.64,0.48077
73.65,0.48172
73.66,0.48338
73.67,0.48226
73.68,0.48273
73.69,0.48199
73.70,0.48217
73.71,0.48111
73.72,0.48102
73.73,0.48103
73.74,0.48247
73.75,0.48217
73.76,0.48127
73.77,0.48273
73.78,0.48346
73.79,0.48337
73.80,0.48217
73.81,0.48283
73.82,0.48253
73.83,0.48290
73.84,0.48383
73.85,0.48247
73.86,0.48309
73.87,0.48183
73.88,0.48314
73.89,0.48335
73.90,0.48380
73.91,0.48282
73.92,0.48284
73.93,0.48231
73.94,0.48398
73.95,0.48482
73.96,0.48401
73.97,0.48519
73.98,0.48598
73.99,0.48373
74.00,0.48384
