current_mA,ch1_V,ch3_V
72.01,0.18772,-0.00205
72.02,0.18763,-0.00204
72.03,0.18772,-0.00205
72.04,0.18774,-0.00206
72.05,0.18716,-0.00206
72.06,0.18780,-0.00207
72.07,0.18831,-0.00205
72.08,0.18718,-0.00206
72.09,0.18804,-0.00206
72.10,0.18785,-0.00204
72.11,0.18833,-0.00205
72.12,0.18847,-0.00204
72.13,0.18842,-0.00205
72.14,0.18837,-0.00204
72.15,0.18833,-0.00205
72.16,0.18853,-0.00204
72.17,0.18851,-0.00203
72.18,0.18799,-0.00204
72.19,0.18752,-0.00206
72.20,0.18731,-0.00204
72.21,0.18733,-0.00203
72.22,0.18759,-0.00202
72.23,0.18792,-0.00201
72.24,0.18804,-0.00200
72.25,0.18800,-0.00200
72.26,0.18752,-0.00197
72.27,0.18761,-0.00191
72.28,0.18700,-0.00190
72.29,0.18780,-0.00193
72.30,0.18766,-0.00187
72.31,0.18688,-0.00201
72.32,0.18709,-0.00193
72.33,0.18719,-0.00192
72.34,0.18739,-0.00186
72.35,0.18797,-0.00190
72.36,0.18754,-0.00189
72.37,0.18844,-0.00156
72.38,0.18811,-0.00163
72.39,0.18819,-0.00139
72.40,0.18800,-0.00091
72.41,0.18760,-0.00036
72.42,0.18782,-0.00209
72.43,0.18772,-0.00277
72.44,0.18738,-0.00203
72.45,0.18708,-0.00137
72.46,0.18546,-0.00231
72.47,0.18539,-0.00242
72.48,0.18463,-0.00225
72.49,0.18622,-0.00158
72.50,0.18597,-0.00230
72.51,0.18766,-0.00219
72.52,0.18794,-0.00176
72.53,0.18911,-0.00148
72.54,0.18855,-0.00033
72.55,0.18781,-0.00159
72.56,0.18747,-0.00115
72.57,0.18844,-0.00175
72.58,0.19103,0.00048
72.59,0.19233,0.00474
72.60,0.18585,0.00518
72.61,0.17679,-0.02331
72.62,0.17128,-0.01409
72.63,0.17284,-0.00764
72.64,0.17810,-0.00388
72.65,0.18105,-0.00294
72.66,0.18314,-0.00274
72.67,0.18515,-0.00261
72.68,0.18616,-0.00260
72.69,0.18663,-0.00250
72.70,0.18688,-0.00246
72.71,0.18826,-0.00241
72.72,0.18819,-0.00236
72.73,0.18866,-0.00233
72.74,0.18868,-0.00232
72.75,0.18872,-0.00231
72.76,0.18872,-0.00229
72.77,0.18904,-0.00230
72.78,0.18893,-0.00227
72.79,0.18913,-0.00227
72.80,0.18915,-0.00225
72.81,0.18934,-0.00224
72.82,0.18994,-0.00223
72.83,0.18914,-0.00223
72.84,0.18924,-0.00223
72.85,0.18936,-0.00222
72.86,0.18969,-0.00221
72.87,0.18922,-0.00222
72.88,0.19032,-0.00221
72.89,0.18972,-0.00222
72.90,0.18959,-0.00221
72.91,0.18985,-0.00221
72.92,0.19022,-0.00220
72.93,0.19006,-0.00220
72.94,0.18980,-0.00221
72.95,0.18999,-0.00221
72.96,0.18996,-0.00219
72.97,0.18960,-0.00221
72.98,0.19054,-0.00219
72.99,0.18831,-0.00218
73.00,0.19016,-0.00218
73.01,0.19086,-0.00219
73.02,0.18998,-0.00218
73.03,0.19037,-0.00218
73.04,0.19010,-0.00218
73.05,0.18993,-0.00218
73.06,0.18995,-0.00219
73.07,0.19063,-0.00218
73.08,0.19057,-0.00218
73.09,0.19042,-0.00219
73.10,0.19059,-0.00218
73.11,0.19095,-0.00218
73.12,0.19080,-0.00217
73.13,0.19086,-0.00215
73.14,0.19078,-0.00215
73.15,0.19127,-0.00215
73.16,0.19074,-0.00216
73.17,0.19044,-0.00217
73.18,0.19101,-0.00216
73.19,0.19072,-0.00214
73.20,0.19109,-0.00213
73.21,0.19106,-0.00216
73.22,0.19093,-0.00215
73.23,0.19099,-0.00216
73.24,0.19122,-0.00215
73.25,0.19107,-0.00217
73.26,0.19044,-0.00218
73.27,0.19134,-0.00216
73.28,0.19166,-0.00216
73.29,0.19122,-0.00216
73.30,0.19107,-0.00216
73.31,0.19154,-0.00216
73.32,0.19178,-0.00215
73.33,0.19131,-0.00215
73.34,0.19122,-0.00216
73.35,0.19142,-0.00216
73.36,0.19109,-0.00214
73.37,0.19161,-0.00216
73.38,0.19120,-0.00214
73.39,0.19223,-0.00215
73.40,0.19176,-0.00216
73.41,0.19134,-0.00214
73.42,0.19189,-0.00215
73.43,0.19137,-0.00213
73.44,0.19108,-0.00214
73.45,0.19099,-0.00215
73.46,0.19194,-0.00215
73.47,0.19198,-0.00214
73.48,0.19165,-0.00213
73.49,0.19227,-0.00214
73.50,0.19202,-0.00215
73.51,0.19216,-0.00215
73.52,0.19180,-0.00215
73.53,0.19248,-0.00213
73.54,0.19186,-0.00215
73.55,0.19216,-0.00214
73.56,0.19200,-0.00214
73.57,0.19221,-0.00214
73.58,0.19171,-0.00212
73.59,0.19220,-0.00213
73.60,0.19192,-0.00214
73.61,0.19167,-0.00214
73.62,0.19176,-0.00214
73.63,0.19192,-0.00212
73.64,0.19144,-0.00211
73.65,0.19172,-0.00212
73.66,0.19210,-0.00212
73.67,0.19217,-0.00212
73.68,0.19188,-0.00211
73.69,0.19251,-0.00211
73.70,0.19249,-0.00211
73.71,0.19225,-0.00210
73.72,0.19219,-0.00211
73.73,0.19219,-0.00212
73.74,0.19184,-0.00211
73.75,0.19227,-0.00210
73.76,0.19236,-0.00213
73.77,0.19251,-0.00211
73.78,0.19275,-0.00211
73.79,0.19263,-0.00211
73.80,0.19196,-0.00212
73.81,0.19267,-0.00210
73.82,0.19268,-0.00210
73.83,0.19237,-0.00209
73.84,0.19303,-0.00208
73.85,0.19376,-0.00209
73.86,0.19295,-0.00212
73.87,0.19346,-0.00211
73.88,0.19266,-0.00211
73.89,0.19256,-0.00213
73.90,0.19358,-0.00211
73.91,0.19229,-0.00212
73.92,0.19257,-0.00212
73.93,0.19359,-0.00212
73.94,0.19292,-0.00212
73.95,0.19351,-0.00213
73.96,0.19349,-0.00211
73.97,0.19240,-0.00212
73.98,0.19315,-0.00210
73.99,0.19299,-0.00211
74.00,0.19317,-0.00212
