l2_pos_deg,voltage_V
14.0000,0.5498
15.0000,0.5256
16.0000,0.4969
17.0000,0.4667
18.0000,0.4373
19.0000,0.4066
20.0000,0.3769
21.0000,0.3454
22.0000,0.3169
23.0000,0.288
24.0000,0.2591
25.0000,0.2328
26.0000,0.2074
27.0000,0.1826
28.0000,0.1583
29.0000,0.1356
30.0000,0.1142
31.0000,0.0937
32.0000,0.0759
33.0000,0.0583
34.0000,0.0432
35.0000,0.0297
36.0000,0.0173
37.0000,0.0073
38.0000,0.0013
39.0000,0.0
40.0000,0.0
41.0000,0.0
42.0000,0.0
43.0000,0.0
44.0000,0.0
45.0000,0.0
46.0000,0.001
47.0000,0.0092
48.0000,0.0195
49.0000,0.0323
50.0000,0.0461
51.0000,0.0617
52.0000,0.0787
53.0000,0.098
54.0000,0.1184
55.0000,0.1395
56.0000,0.161
57.0000,0.184
58.0000,0.2091
59.0000,0.2339
60.0000,0.2594
