current_mA,voltage_V
72.01,0.73540
72.02,0.73334
72.03,0.73272
72.04,0.73378
72.05,0.73210
72.06,0.73258
72.07,0.73219
72.08,0.73406
72.09,0.73585
72.10,0.73698
72.11,0.73630
72.12,0.73618
72.13,0.73536
72.14,0.73490
72.15,0.73484
72.16,0.73558
72.17,0.73629
72.18,0.73557
72.19,0.73417
72.20,0.73334
72.21,0.73405
72.22,0.73449
72.23,0.73582
72.24,0.73696
72.25,0.73702
72.26,0.73616
72.27,0.73626
72.28,0.73712
72.29,0.73677
72.30,0.73514
72.31,0.73939
72.32,0.73988
72.33,0.73996
72.34,0.74070
72.35,0.74079
72.36,0.73966
72.37,0.73958
72.38,0.73946
72.39,0.74041
72.40,0.73638
72.41,0.73661
72.42,0.73491
72.43,0.73798
72.44,0.73744
72.45,0.73744
72.46,0.73735
72.47,0.74022
72.48,0.73834
72.49,0.73741
72.50,0.73567
72.51,0.73424
72.52,0.73552
72.53,0.73539
72.54,0.73770
72.55,0.73607
72.56,0.73502
72.57,0.73590
72.58,0.73632
72.59,0.73342
72.60,0.73420
72.61,0.73473
72.62,0.73854
72.63,0.73832
72.64,0.74031
72.65,0.74134
72.66,0.73646
72.67,0.73254
72.68,0.73672
72.69,0.73305
72.70,0.73277
72.71,0.73165
72.72,0.73504
72.73,0.73549
72.74,0.73549
72.75,0.73696
72.76,0.73619
72.77,0.73741
72.78,0.73817
72.79,0.73903
72.80,0.74045
72.81,0.74259
72.82,0.74706
72.83,0.75490
72.84,0.75459
72.85,0.73883
72.86,0.72542
72.87,0.72147
72.88,0.70769
72.89,0.72036
72.90,0.72306
72.91,0.72550
72.92,0.73120
72.93,0.73645
72.94,0.74029
72.95,0.74345
72.96,0.74599
72.97,0.74601
72.98,0.74563
72.99,0.74458
73.00,0.74359
73.01,0.74530
73.02,0.74750
73.03,0.74426
73.04,0.74661
73.05,0.74412
73.06,0.74659
73.07,0.74454
73.08,0.74605
73.09,0.74536
73.10,0.74422
73.11,0.74394
73.12,0.74588
73.13,0.74868
73.14,0.74667
73.15,0.74835
73.16,0.74125
73.17,0.74300
73.18,0.74270
73.19,0.74455
73.20,0.74215
73.21,0.74387
73.22,0.74755
73.23,0.74959
73.24,0.74727
73.25,0.74477
73.26,0.74658
73.27,0.74384
73.28,0.74535
73.29,0.74768
73.30,0.74770
73.31,0.74495
73.32,0.74580
73.33,0.74983
73.34,0.74881
73.35,0.75024
73.36,0.74919
73.37,0.74676
73.38,0.74912
73.39,0.74901
73.40,0.75004
73.41,0.75112
73.42,0.74940
73.43,0.74835
73.44,0.74901
73.45,0.75208
73.46,0.74967
73.47,0.74748
73.48,0.75070
73.49,0.74971
73.50,0.75106
73.51,0.75130
73.52,0.74862
73.53,0.74959
73.54,0.75248
73.55,0.75125
73.56,0.75154
73.57,0.74949
73.58,0.75041
73.59,0.75010
73.60,0.75167
73.61,0.75215
73.62,0.75179
73.63,0.74942
73.64,0.74813
73.65,0.74962
73.66,0.74967
73.67,0.74978
73.68,0.74973
73.69,0.75029
73.70,0.75322
73.71,0.75179
73.72,0.75458
73.73,0.75433
73.74,0.75196
73.75,0.74909
73.76,0.75431
73.77,0.75293
73.78,0.75158
73.79,0.75530
73.80,0.75320
73.81,0.74832
73.82,0.75034
73.83,0.75536
73.84,0.75137
73.85,0.74983
73.86,0.75422
73.87,0.75243
73.88,0.75357
73.89,0.75442
73.90,0.75504
73.91,0.75586
73.92,0.75534
73.93,0.75482
73.94,0.75569
73.95,0.75499
73.96,0.75639
73.97,0.75699
73.98,0.75630
73.99,0.75585
74.00,0.75476
