current_mA,ch1_V,ch3_V
72.01,0.13116,-0.00457
72.02,0.13115,-0.00458
72.03,0.13122,-0.00456
72.04,0.13108,-0.00458
72.05,0.13104,-0.00457
72.06,0.13105,-0.00457
72.07,0.13089,-0.00457
72.08,0.13114,-0.00457
72.09,0.13097,-0.00457
72.10,0.13141,-0.00456
72.11,0.13165,-0.00454
72.12,0.13158,-0.00449
72.13,0.13177,-0.00444
72.14,0.13179,-0.00429
72.15,0.13163,-0.00411
72.16,0.13089,-0.00393
72.17,0.12971,-0.00370
72.18,0.12875,-0.00362
72.19,0.12851,-0.00363
72.20,0.12838,-0.00373
72.21,0.12863,-0.00385
72.22,0.12929,-0.00394
72.23,0.12991,-0.00396
72.24,0.12975,-0.00390
72.25,0.12935,-0.00377
72.26,0.12904,-0.00354
72.27,0.12867,-0.00344
72.28,0.12861,-0.00345
72.29,0.12858,-0.00349
72.30,0.12844,-0.00350
72.31,0.12796,-0.00349
72.32,0.12789,-0.00353
72.33,0.12824,-0.00378
72.34,0.12861,-0.00405
72.35,0.12901,-0.00424
72.36,0.12909,-0.00432
72.37,0.12943,-0.00419
72.38,0.12969,-0.00409
72.39,0.12920,-0.00385
72.40,0.12882,-0.00364
72.41,0.12796,-0.00337
72.42,0.12857,-0.00354
72.43,0.12835,-0.00349
72.44,0.12793,-0.00330
72.45,0.12632,-0.00263
72.46,0.12487,-0.00235
72.47,0.12448,-0.00310
72.48,0.12448,-0.00363
72.49,0.12566,-0.00374
72.50,0.12578,-0.00424
72.51,0.12416,-0.00577
72.52,0.12254,-0.00502
72.53,0.12459,-0.00392
72.54,0.12215,-0.00513
72.55,0.12255,-0.00380
72.56,0.12038,-0.00551
72.57,0.12015,-0.00595
72.58,0.11468,-0.00817
72.59,0.11246,-0.00790
72.60,0.11208,-0.01213
72.61,0.11054,-0.02017
72.62,0.09968,-0.01543
72.63,0.09416,-0.00202
72.64,0.11722,0.02091
72.65,0.10077,0.02108
72.66,0.09486,0.01881
72.67,0.09576,0.01114
72.68,0.10521,0.00557
72.69,0.11068,0.00229
72.70,0.11711,-0.00080
72.71,0.12285,-0.00323
72.72,0.12518,-0.00355
72.73,0.12550,-0.00353
72.74,0.12722,-0.00398
72.75,0.12706,-0.00402
72.76,0.12815,-0.00424
72.77,0.12889,-0.00433
72.78,0.12957,-0.00438
72.79,0.13027,-0.00446
72.80,0.13001,-0.00447
72.81,0.13077,-0.00451
72.82,0.13090,-0.00451
72.83,0.13131,-0.00453
72.84,0.13076,-0.00454
72.85,0.13106,-0.00454
72.86,0.13121,-0.00455
72.87,0.13166,-0.00456
72.88,0.13161,-0.00457
72.89,0.13170,-0.00457
72.90,0.13145,-0.00457
72.91,0.13177,-0.00456
72.92,0.13172,-0.00456
72.93,0.13166,-0.00456
72.94,0.13264,-0.00458
72.95,0.13241,-0.00458
72.96,0.13223,-0.00458
72.97,0.13242,-0.00458
72.98,0.13259,-0.00458
72.99,0.13245,-0.00458
73.00,0.13266,-0.00458
73.01,0.13229,-0.00458
73.02,0.13307,-0.00459
73.03,0.13271,-0.00459
73.04,0.13292,-0.00459
73.05,0.13287,-0.00459
73.06,0.13291,-0.00459
73.07,0.13261,-0.00458
73.08,0.13296,-0.00458
73.09,0.13315,-0.00459
73.10,0.13262,-0.00459
73.11,0.13290,-0.00459
73.12,0.13278,-0.00458
73.13,0.13301,-0.00458
73.14,0.13310,-0.00458
73.15,0.13307,-0.00458
73.16,0.13320,-0.00458
73.17,0.13253,-0.00458
73.18,0.13274,-0.00458
73.19,0.13342,-0.00458
73.20,0.13331,-0.00458
73.21,0.13349,-0.00458
73.22,0.13305,-0.00458
73.23,0.13341,-0.00458
73.24,0.13319,-0.00458
73.25,0.13337,-0.00458
73.26,0.13353,-0.00458
73.27,0.13362,-0.00458
73.28,0.13333,-0.00458
73.29,0.13370,-0.00459
73.30,0.13347,-0.00459
73.31,0.13344,-0.00459
73.32,0.13360,-0.00459
73.33,0.13327,-0.00459
73.34,0.13346,-0.00458
73.35,0.13308,-0.00458
73.36,0.13366,-0.00458
73.37,0.13389,-0.00459
73.38,0.13284,-0.00459
73.39,0.13320,-0.00458
73.40,0.13336,-0.00459
73.41,0.13294,-0.00459
73.42,0.13360,-0.00458
73.43,0.13407,-0.00458
73.44,0.13391,-0.00459
73.45,0.13350,-0.00457
73.46,0.13337,-0.00458
73.47,0.13349,-0.00458
73.48,0.13385,-0.00458
73.49,0.13396,-0.00458
73.50,0.13365,-0.00458
73.51,0.13386,-0.00458
