l2_pos_deg,voltage_V
51.0100,0.0649
51.0200,0.065
51.0300,0.0656
51.0400,0.0655
51.0500,0.0662
51.0600,0.0659
51.0700,0.066
51.0800,0.0667
51.0900,0.0665
51.1000,0.0667
51.1100,0.0668
51.1200,0.0663
51.1300,0.0672
51.1400,0.0676
51.1500,0.0673
51.1600,0.0673
51.1700,0.068
51.1800,0.0674
51.1900,0.0677
51.2000,0.0682
51.2099,0.0683
51.2199,0.0687
51.2299,0.0687
51.2399,0.0687
51.2499,0.0692
51.2599,0.0694
51.2699,0.0692
51.2799,0.0699
51.2899,0.0699
51.2999,0.0693
51.3099,0.0702
51.3199,0.0706
51.3299,0.07
51.3399,0.0707
51.3499,0.071
51.3599,0.0707
51.3699,0.071
51.3799,0.0712
51.3899,0.071
51.3999,0.0717
51.4099,0.0715
51.4199,0.0715
51.4299,0.0722
51.4399,0.0723
51.4499,0.0722
51.4599,0.0727
51.4699,0.0725
51.4799,0.0727
51.4899,0.0729
51.4999,0.0731
51.5099,0.0728
51.5199,0.0737
51.5299,0.0739
51.5399,0.0737
51.5499,0.0743
51.5599,0.0741
51.5699,0.0747
51.5799,0.0749
51.5899,0.0753
51.5999,0.0751
51.6099,0.0753
51.6199,0.0754
51.6298,0.0754
51.6398,0.0757
51.6498,0.0761
51.6598,0.0759
51.6698,0.0763
51.6798,0.0765
51.6898,0.0763
51.6998,0.077
51.7098,0.0772
51.7198,0.077
51.7298,0.0772
51.7398,0.0777
51.7498,0.0775
51.7598,0.0783
51.7698,0.0782
51.7798,0.0777
51.7898,0.0778
51.7998,0.0784
51.8098,0.0785
51.8198,0.0786
51.8298,0.0785
51.8398,0.0791
51.8498,0.0795
51.8598,0.0797
51.8698,0.0797
51.8798,0.0803
51.8898,0.0803
51.8998,0.0805
51.9098,0.0807
51.9198,0.0803
51.9298,0.0805
51.9398,0.0811
51.9498,0.0815
51.9598,0.0816
51.9698,0.0812
51.9798,0.0815
51.9898,0.0811
51.9998,0.0818
