l2_pos_deg,ch1_V,ch3_V
3.0000,0.00134,0.24844
6.0000,0.00136,0.24846
9.0000,0.00134,0.24852
12.0000,0.00132,0.24845
15.0000,0.00133,0.24847
18.0000,0.00132,0.24851
21.0000,0.00125,0.24853
24.0000,0.00113,0.24854
27.0000,0.00114,0.24852
30.0000,0.00115,0.24849
33.0000,0.00116,0.24845
36.0000,0.00115,0.24852
39.0000,0.00115,0.24849
42.0000,0.00113,0.24851
45.0000,0.00114,0.24853
48.0000,0.00112,0.24849
51.0000,0.00109,0.24853
54.0000,0.00108,0.24853
57.0000,0.00106,0.24864
60.0000,0.00113,0.24852
63.0000,0.00109,0.2485
66.0000,0.00112,0.24852
69.0000,0.00109,0.24846
72.0000,0.00108,0.2485
75.0000,0.0011,0.24852
78.0000,0.00105,0.2485
81.0000,0.00108,0.24845
84.0000,0.00109,0.24845
87.0000,0.00109,0.24844
90.0000,0.00116,0.24854
