l2_pos_deg,voltage_V
51.0100,0.5467
51.0200,0.4479
51.0300,0.1838
51.0400,0.0149
51.0500,0.0227
51.0600,0.0653
51.0700,0.0655
51.0800,0.0655
51.0900,0.0656
51.1000,0.0664
51.1100,0.0662
51.1200,0.0663
51.1300,0.0662
51.1400,0.0667
51.1500,0.0661
51.1600,0.0672
51.1700,0.0675
51.1800,0.0673
51.1900,0.0677
51.2000,0.068
51.2099,0.0677
51.2199,0.0681
51.2299,0.0682
51.2399,0.0685
51.2499,0.0688
51.2599,0.0685
51.2699,0.0685
51.2799,0.0686
51.2899,0.0692
51.2999,0.0692
51.3099,0.0696
51.3199,0.0695
51.3299,0.0696
51.3399,0.0694
51.3499,0.0703
51.3599,0.0702
51.3699,0.0702
51.3799,0.0706
51.3899,0.0704
51.3999,0.0707
51.4099,0.0712
51.4199,0.0709
51.4299,0.0705
51.4399,0.0711
51.4499,0.0718
51.4599,0.0718
51.4699,0.0721
51.4799,0.0722
51.4899,0.0724
51.4999,0.0727
51.5099,0.0729
51.5199,0.0726
51.5299,0.0724
51.5399,0.0732
51.5499,0.073
51.5599,0.0732
51.5699,0.0737
51.5799,0.0739
51.5899,0.0738
51.5999,0.0741
51.6099,0.0748
51.6199,0.0743
51.6298,0.0747
51.6398,0.0746
51.6498,0.0746
51.6598,0.0752
51.6698,0.0757
51.6798,0.0756
51.6898,0.0754
51.6998,0.0759
51.7098,0.0756
51.7198,0.0758
51.7298,0.0758
51.7398,0.0764
51.7498,0.077
51.7598,0.0773
51.7698,0.0769
51.7798,0.0769
51.7898,0.0774
51.7998,0.0773
51.8098,0.0768
51.8198,0.078
51.8298,0.0781
51.8398,0.0782
51.8498,0.0781
51.8598,0.0786
51.8698,0.0784
51.8798,0.0789
51.8898,0.079
51.8998,0.0785
51.9098,0.0788
51.9198,0.079
51.9298,0.0797
51.9398,0.0794
51.9498,0.0801
51.9598,0.0802
51.9698,0.0801
51.9798,0.081
51.9898,0.0805
51.9998,0.0803
