l2_pos_deg,voltage_V
1.0000,0.0372
2.0000,0.009
3.0000,0.0311
4.0000,0.2303
5.0000,0.5102
6.0000,0.7228
7.0000,0.7612
8.0000,0.6061
9.0000,0.333
10.0000,0.0851
11.0000,0.001
12.0000,0.1041
13.0000,0.3623
14.0000,0.6302
15.0000,0.7735
16.0000,0.7734
17.0000,0.7629
18.0000,0.7517
19.0000,0.7378
20.0000,0.7254
21.0000,0.7081
22.0000,0.6878
23.0000,0.6686
24.0000,0.6469
25.0000,0.6229
26.0000,0.6003
27.0000,0.5757
28.0000,0.5455
29.0000,0.5199
30.0000,0.4904
31.0000,0.462
32.0000,0.4322
33.0000,0.4006
34.0000,0.3704
35.0000,0.3402
36.0000,0.3103
37.0000,0.2815
38.0000,0.2526
39.0000,0.2248
40.0000,0.1976
41.0000,0.1706
42.0000,0.1458
43.0000,0.1217
44.0000,0.0999
45.0000,0.0794
46.0000,0.0607
47.0000,0.0441
48.0000,0.0291
49.0000,0.0163
50.0000,0.0057
51.0000,0.0001
52.0000,0.0
53.0000,0.0
54.0000,0.0
55.0000,0.0
56.0000,0.0
57.0000,0.0
58.0000,0.0007
59.0000,0.0082
60.0000,0.0187
61.0000,0.032
62.0000,0.0473
63.0000,0.0648
64.0000,0.0835
65.0000,0.1046
66.0000,0.1265
67.0000,0.1492
68.0000,0.1746
69.0000,0.2008
70.0000,0.2279
71.0000,0.2549
72.0000,0.2828
73.0000,0.3112
74.0000,0.3405
75.0000,0.371
76.0000,0.4
77.0000,0.4292
78.0000,0.4608
79.0000,0.4911
80.0000,0.52
81.0000,0.5476
82.0000,0.5723
83.0000,0.5967
84.0000,0.6234
85.0000,0.6449
86.0000,0.6652
87.0000,0.6868
88.0000,0.703
89.0000,0.7178
90.0000,0.733
