current_mA,ch1_V,ch3_V
72.01,0.17451,-0.00131
72.02,0.17466,-0.00131
72.03,0.17526,-0.00131
72.04,0.17488,-0.00130
72.05,0.17509,-0.00132
72.06,0.17430,-0.00132
72.07,0.17502,-0.00130
72.08,0.17525,-0.00130
72.09,0.17543,-0.00130
72.10,0.17489,-0.00129
72.11,0.17480,-0.00129
72.12,0.17535,-0.00127
72.13,0.17535,-0.00128
72.14,0.17527,-0.00126
72.15,0.17533,-0.00128
72.16,0.17524,-0.00129
72.17,0.17459,-0.00128
72.18,0.17505,-0.00127
72.19,0.17411,-0.00128
72.20,0.17479,-0.00126
72.21,0.17465,-0.00127
72.22,0.17488,-0.00125
72.23,0.17552,-0.00125
72.24,0.17518,-0.00126
72.25,0.17506,-0.00124
72.26,0.17475,-0.00124
72.27,0.17472,-0.00125
72.28,0.17504,-0.00126
72.29,0.17489,-0.00126
72.30,0.17434,-0.00123
72.31,0.17399,-0.00121
72.32,0.17397,-0.00118
72.33,0.17523,-0.00121
72.34,0.17476,-0.00121
72.35,0.17492,-0.00122
72.36,0.17526,-0.00123
72.37,0.17540,-0.00119
72.38,0.17512,-0.00121
72.39,0.17476,-0.00144
72.40,0.17477,-0.00111
72.41,0.17525,-0.00100
72.42,0.17483,-0.00058
72.43,0.17558,-0.00126
72.44,0.17516,-0.00157
72.45,0.17400,-0.00137
72.46,0.17293,-0.00100
72.47,0.17324,-0.00064
72.48,0.17391,-0.00138
72.49,0.17424,-0.00138
72.50,0.17369,-0.00121
72.51,0.17381,0.00084
72.52,0.17368,0.00057
72.53,0.17341,-0.00223
72.54,0.17541,-0.00132
72.55,0.17475,0.00056
72.56,0.17379,-0.00095
72.57,0.17428,-0.00091
72.58,0.17461,-0.00088
72.59,0.17629,0.00032
72.60,0.17801,0.00236
72.61,0.17778,0.00735
72.62,0.17280,0.02955
72.63,0.16138,-0.02786
72.64,0.15753,-0.01188
72.65,0.16180,-0.00600
72.66,0.16581,-0.00383
72.67,0.16812,-0.00268
72.68,0.17125,-0.00226
72.69,0.17319,-0.00203
72.70,0.17351,-0.00188
72.71,0.17485,-0.00168
72.72,0.17573,-0.00167
72.73,0.17594,-0.00161
72.74,0.17649,-0.00161
72.75,0.17613,-0.00159
72.76,0.17639,-0.00157
72.77,0.17641,-0.00154
72.78,0.17626,-0.00154
72.79,0.17578,-0.00152
72.80,0.17606,-0.00152
72.81,0.17603,-0.00151
72.82,0.17640,-0.00152
72.83,0.17582,-0.00149
72.84,0.17642,-0.00149
72.85,0.17694,-0.00147
72.86,0.17648,-0.00147
72.87,0.17643,-0.00147
72.88,0.17692,-0.00147
72.89,0.17714,-0.00148
72.90,0.17658,-0.00147
72.91,0.17716,-0.00147
72.92,0.17646,-0.00146
72.93,0.17727,-0.00146
72.94,0.17649,-0.00146
72.95,0.17688,-0.00147
72.96,0.17726,-0.00145
72.97,0.17758,-0.00145
72.98,0.17690,-0.00143
72.99,0.17692,-0.00142
73.00,0.17716,-0.00142
73.01,0.17714,-0.00142
73.02,0.17769,-0.00142
73.03,0.17746,-0.00141
73.04,0.17769,-0.00143
73.05,0.17719,-0.00142
73.06,0.17746,-0.00143
73.07,0.17747,-0.00142
73.08,0.17820,-0.00143
73.09,0.17805,-0.00142
73.10,0.17791,-0.00140
73.11,0.17776,-0.00141
73.12,0.17699,-0.00140
73.13,0.17755,-0.00139
73.14,0.17726,-0.00141
73.15,0.17759,-0.00140
73.16,0.17744,-0.00142
73.17,0.17807,-0.00140
73.18,0.17825,-0.00138
73.19,0.17793,-0.00140
73.20,0.17747,-0.00140
73.21,0.17756,-0.00139
73.22,0.17756,-0.00140
73.23,0.17752,-0.00140
73.24,0.17892,-0.00139
73.25,0.17830,-0.00139
73.26,0.17775,-0.00140
73.27,0.17740,-0.00138
73.28,0.17822,-0.00139
73.29,0.17883,-0.00138
73.30,0.17772,-0.00138
73.31,0.17830,-0.00138
73.32,0.17839,-0.00138
73.33,0.17810,-0.00138
73.34,0.17839,-0.00139
73.35,0.17712,-0.00140
73.36,0.17828,-0.00138
73.37,0.17831,-0.00138
73.38,0.17785,-0.00138
73.39,0.17867,-0.00138
73.40,0.17835,-0.00137
73.41,0.17837,-0.00137
73.42,0.17820,-0.00138
73.43,0.17853,-0.00138
73.44,0.17790,-0.00139
73.45,0.17837,-0.00138
73.46,0.17812,-0.00137
