current_mA,ch1_V,ch3_V
72.01,0.17509,-0.00129
72.02,0.17492,-0.00129
72.03,0.17468,-0.00129
72.04,0.17458,-0.00129
72.05,0.17558,-0.00129
72.06,0.17484,-0.00129
72.07,0.17526,-0.00129
72.08,0.17511,-0.00127
72.09,0.17492,-0.00127
72.10,0.17460,-0.00127
72.11,0.17465,-0.00128
72.12,0.17521,-0.00128
72.13,0.17528,-0.00127
72.14,0.17510,-0.00126
72.15,0.17556,-0.00125
72.16,0.17494,-0.00124
72.17,0.17505,-0.00124
72.18,0.17487,-0.00123
72.19,0.17481,-0.00124
72.20,0.17444,-0.00125
72.21,0.17496,-0.00125
72.22,0.17450,-0.00124
72.23,0.17446,-0.00123
72.24,0.17470,-0.00124
72.25,0.17516,-0.00123
72.26,0.17463,-0.00121
72.27,0.17434,-0.00121
72.28,0.17443,-0.00120
72.29,0.17548,-0.00120
72.30,0.17512,-0.00120
72.31,0.17416,-0.00122
72.32,0.17423,-0.00120
72.33,0.17460,-0.00119
72.34,0.17396,-0.00120
72.35,0.17460,-0.00120
72.36,0.17476,-0.00119
72.37,0.17536,-0.00117
72.38,0.17497,-0.00117
72.39,0.17511,-0.00110
72.40,0.17517,-0.00102
72.41,0.17462,-0.00107
72.42,0.17514,-0.00084
72.43,0.17495,-0.00054
72.44,0.17544,-0.00129
72.45,0.17491,-0.00154
72.46,0.17365,-0.00104
72.47,0.17342,-0.00059
72.48,0.17331,-0.00126
72.49,0.17420,-0.00136
72.50,0.17401,-0.00112
72.51,0.17346,0.00087
72.52,0.17365,-0.00533
72.53,0.17332,-0.00243
72.54,0.17553,-0.00085
72.55,0.17489,-0.00044
72.56,0.17389,0.00159
72.57,0.17438,-0.00385
72.58,0.17475,-0.00108
72.59,0.17652,-0.00027
72.60,0.17763,0.00176
72.61,0.17807,0.00666
72.62,0.17082,0.02871
72.63,0.16491,-0.02826
72.64,0.15774,-0.01303
72.65,0.16191,-0.00574
72.66,0.16671,-0.00355
72.67,0.17005,-0.00273
72.68,0.17178,-0.00224
72.69,0.17294,-0.00203
72.70,0.17480,-0.00174
72.71,0.17486,-0.00171
72.72,0.17568,-0.00166
72.73,0.17548,-0.00163
72.74,0.17534,-0.00159
72.75,0.17591,-0.00158
72.76,0.17616,-0.00154
72.77,0.17604,-0.00153
72.78,0.17654,-0.00152
72.79,0.17638,-0.00151
72.80,0.17562,-0.00150
72.81,0.17538,-0.00149
72.82,0.17667,-0.00149
72.83,0.17630,-0.00147
72.84,0.17574,-0.00147
72.85,0.17638,-0.00147
72.86,0.17660,-0.00145
72.87,0.17638,-0.00145
72.88,0.17658,-0.00144
72.89,0.17715,-0.00144
72.90,0.17669,-0.00145
72.91,0.17612,-0.00144
72.92,0.17712,-0.00144
72.93,0.17680,-0.00144
72.94,0.17738,-0.00143
72.95,0.17759,-0.00143
72.96,0.17697,-0.00143
72.97,0.17698,-0.00141
72.98,0.17654,-0.00142
72.99,0.17750,-0.00141
73.00,0.17710,-0.00140
73.01,0.17708,-0.00139
73.02,0.17680,-0.00140
73.03,0.17716,-0.00138
