current_mA,voltage_V
72.01,0.7933
72.02,0.7923
72.03,None
72.04,0.7941
72.05,0.7937
72.06,None
72.07,0.792
72.08,0.7922
72.09,None
72.10,0.7916
72.11,0.7919
72.12,None
72.13,0.7923
72.14,0.7945
72.15,None
72.16,0.7927
72.17,0.7908
72.18,None
72.19,0.7935
72.20,0.7894
72.21,None
72.22,0.7909
72.23,0.7904
72.24,None
72.25,0.7916
72.26,0.7902
72.27,None
72.28,0.7914
72.29,0.7912
72.30,None
72.31,0.7938
72.32,0.7917
72.33,None
72.34,0.7948
72.35,0.7964
72.36,None
72.37,0.7952
72.38,0.7897
72.39,None
72.40,0.7877
72.41,0.7835
72.42,None
72.43,0.7845
72.44,0.7851
72.45,None
72.46,0.7865
72.47,0.7808
72.48,None
72.49,0.7769
72.50,0.772
72.51,None
72.52,0.7703
72.53,0.7697
72.54,None
72.55,0.7695
72.56,0.769
72.57,None
72.58,0.7672
72.59,0.7674
72.60,None
72.61,0.7614
72.62,0.757
72.63,None
72.64,0.7439
72.65,0.7298
72.66,None
72.67,0.718
72.68,0.7124
72.69,None
72.70,0.7059
72.71,0.7136
72.72,None
72.73,0.7116
72.74,0.7059
72.75,None
72.76,0.6957
72.77,0.6932
72.78,None
72.79,0.6704
72.80,0.6849
72.81,None
72.82,0.7119
72.83,0.7743
72.84,None
72.85,0.7786
72.86,0.7939
72.87,None
72.88,0.8318
72.89,0.8592
72.90,None
72.91,0.8704
72.92,0.8736
72.93,None
72.94,0.8689
72.95,0.8662
72.96,None
72.97,0.8651
72.98,0.863
72.99,None
73.00,0.8595
73.01,0.8552
73.02,None
73.03,0.8552
73.04,0.8535
73.05,None
73.06,0.851
73.07,0.8502
73.08,None
73.09,0.8459
73.10,0.8482
73.11,None
73.12,0.8467
73.13,0.8462
73.14,None
