l2_pos_deg,ch1_V,ch3_V
3.0000,0.29144,0.07349
6.0000,0.33551,0.08649
9.0000,0.37501,0.09795
12.0000,0.40773,0.10761
15.0000,0.43264,0.11466
18.0000,0.44899,0.11918
21.0000,0.45544,0.12094
24.0000,0.45161,0.11956
27.0000,0.43808,0.1158
30.0000,0.41539,0.10925
33.0000,0.38447,0.1003
36.0000,0.34668,0.08926
39.0000,0.30382,0.07659
42.0000,0.25766,0.06314
45.0000,0.20999,0.04927
48.0000,0.16298,0.03569
51.0000,0.11879,0.02291
54.0000,0.07921,0.01155
57.0000,0.04603,0.00206
60.0000,0.02085,-0.00514
63.0000,0.00467,-0.00974
66.0000,-0.00176,-0.01153
69.0000,0.00188,-0.01041
72.0000,0.01537,-0.00647
75.0000,0.03816,0.00011
78.0000,0.06912,0.00907
81.0000,0.10693,0.01999
84.0000,0.15004,0.03249
87.0000,0.19663,0.04582
90.0000,0.24433,0.0597
