l2_pos_deg,ch1_V,ch3_V
3.0000,0.29195,0.07368
6.0000,0.33646,0.08642
9.0000,0.37566,0.09784
12.0000,0.40858,0.10767
15.0000,0.4336,0.1148
18.0000,0.45009,0.1194
21.0000,0.45629,0.12087
24.0000,0.45264,0.11983
27.0000,0.43884,0.11594
30.0000,0.41606,0.10941
33.0000,0.38525,0.10027
36.0000,0.34733,0.08926
39.0000,0.30446,0.07673
42.0000,0.25822,0.06322
45.0000,0.21043,0.04934
48.0000,0.16342,0.03572
51.0000,0.119,0.02294
54.0000,0.07936,0.01154
57.0000,0.04614,0.00202
60.0000,0.02092,-0.00514
63.0000,0.0047,-0.00974
66.0000,-0.00174,-0.01151
69.0000,0.00189,-0.01043
72.0000,0.01541,-0.0065
75.0000,0.03824,9e-05
78.0000,0.06926,0.00906
81.0000,0.10723,0.02004
84.0000,0.15052,0.03249
87.0000,0.19698,0.04587
90.0000,0.24491,0.05971
