current_mA,ch1_V,ch3_V
72.01,0.18260,-0.00234
72.02,0.18251,-0.00232
72.03,0.18237,-0.00233
72.04,0.18295,-0.00233
72.05,0.18266,-0.00233
72.06,0.18266,-0.00232
72.07,0.18284,-0.00231
72.08,0.18260,-0.00230
72.09,0.18276,-0.00228
72.10,0.18299,-0.00229
72.11,0.18344,-0.00227
72.12,0.18374,-0.00227
72.13,0.18376,-0.00227
72.14,0.18402,-0.00225
72.15,0.18454,-0.00222
72.16,0.18338,-0.00220
72.17,0.18176,-0.00218
72.18,0.18060,-0.00214
72.19,0.17979,-0.00212
72.20,0.17876,-0.00211
72.21,0.17915,-0.00210
72.22,0.17986,-0.00209
72.23,0.18175,-0.00199
72.24,0.18169,-0.00198
72.25,0.18180,-0.00196
72.26,0.18060,-0.00189
72.27,0.18074,-0.00187
72.28,0.18071,-0.00170
72.29,0.17949,-0.00171
72.30,0.17891,-0.00174
72.31,0.17852,-0.00132
72.32,0.17829,-0.00188
72.33,0.17794,-0.00180
72.34,0.17781,-0.00150
72.35,0.17884,-0.00140
72.36,0.17984,-0.00188
72.37,0.17971,-0.00149
72.38,0.17969,-0.00197
72.39,0.17934,-0.00011
72.40,0.17897,0.00056
72.41,0.17910,0.00148
72.42,0.17884,0.00182
72.43,0.17907,-0.00315
72.44,0.17716,-0.00319
72.45,0.17512,-0.00054
72.46,0.17313,0.00248
72.47,0.17240,-0.00350
72.48,0.16994,-0.00471
72.49,0.16882,-0.00031
72.50,0.17148,-0.00354
72.51,0.17489,-0.00009
72.52,0.17369,-0.00216
72.53,0.17540,-0.00168
72.54,0.17632,0.00315
72.55,0.17429,0.00187
72.56,0.16589,0.00492
72.57,0.16665,0.00805
72.58,0.17416,0.02024
72.59,0.17196,0.03018
72.60,0.16071,0.03254
72.61,0.16258,0.00524
72.62,0.17902,-0.04918
72.63,0.15934,-0.04631
72.64,0.13214,-0.02807
72.65,0.13411,-0.02104
72.66,0.15690,-0.00745
72.67,0.16160,-0.00680
72.68,0.16448,-0.00595
72.69,0.17013,-0.00500
72.70,0.17348,-0.00456
72.71,0.17542,-0.00419
72.72,0.17807,-0.00394
72.73,0.17906,-0.00379
72.74,0.17524,-0.00362
72.75,0.17933,-0.00360
72.76,0.18116,-0.00347
72.77,0.18122,-0.00341
72.78,0.18180,-0.00338
72.79,0.18165,-0.00330
72.80,0.18224,-0.00327
72.81,0.18286,-0.00323
72.82,0.18228,-0.00321
72.83,0.18365,-0.00316
72.84,0.18332,-0.00314
72.85,0.18323,-0.00312
72.86,0.18320,-0.00309
72.87,0.18304,-0.00305
72.88,0.18367,-0.00303
72.89,0.18300,-0.00302
72.90,0.18387,-0.00302
72.91,0.18415,-0.00299
72.92,0.18356,-0.00298
72.93,0.18354,-0.00296
72.94,0.18292,-0.00296
72.95,0.18414,-0.00294
72.96,0.18419,-0.00294
72.97,0.18389,-0.00293
72.98,0.18484,-0.00294
72.99,0.18431,-0.00291
73.00,0.18482,-0.00290
73.01,0.18451,-0.00288
73.02,0.18465,-0.00289
73.03,0.18385,-0.00287
73.04,0.18417,-0.00286
73.05,0.18465,-0.00283
73.06,0.18515,-0.00283
73.07,0.18487,-0.00284
73.08,0.18511,-0.00281
73.09,0.18405,-0.00284
73.10,0.18513,-0.00282
73.11,0.18422,-0.00278
73.12,0.18477,-0.00279
73.13,0.18489,-0.00281
73.14,0.18507,-0.00279
73.15,0.18543,-0.00279
73.16,0.18503,-0.00279
73.17,0.18559,-0.00279
73.18,0.18491,-0.00275
73.19,0.18521,-0.00280
73.20,0.18549,-0.00279
73.21,0.18503,-0.00275
73.22,0.18468,-0.00279
73.23,0.18614,-0.00277
73.24,0.18574,-0.00278
73.25,0.18564,-0.00278
73.26,0.18486,-0.00279
73.27,0.18522,-0.00278
73.28,0.18570,-0.00279
73.29,0.18563,-0.00279
73.30,0.18547,-0.00278
73.31,0.18571,-0.00279
73.32,0.18520,-0.00279
73.33,0.18519,-0.00278
73.34,0.18602,-0.00276
73.35,0.18546,-0.00276
73.36,0.18629,-0.00275
73.37,0.18507,-0.00274
73.38,0.18558,-0.00272
73.39,0.18555,-0.00273
73.40,0.18624,-0.00270
73.41,0.18568,-0.00272
73.42,0.18586,-0.00273
73.43,0.18649,-0.00269
73.44,0.18623,-0.00272
73.45,0.18634,-0.00271
73.46,0.18657,-0.00270
73.47,0.18648,-0.00268
73.48,0.18676,-0.00272
73.49,0.18643,-0.00268
73.50,0.18683,-0.00269
73.51,0.18652,-0.00270
73.52,0.18669,-0.00267
73.53,0.18599,-0.00267
73.54,0.18686,-0.00270
73.55,0.18616,-0.00269
73.56,0.18654,-0.00267
73.57,0.18630,-0.00271
73.58,0.18628,-0.00272
73.59,0.18676,-0.00271
73.60,0.18646,-0.00269
73.61,0.18645,-0.00270
73.62,0.18674,-0.00271
73.63,0.18634,-0.00271
73.64,0.18676,-0.00267
73.65,0.18677,-0.00270
73.66,0.18732,-0.00268
73.67,0.18718,-0.00267
73.68,0.18706,-0.00268
73.69,0.18673,-0.00267
73.70,0.18706,-0.00268
73.71,0.18734,-0.00266
73.72,0.18734,-0.00266
73.73,0.18636,-0.00270
73.74,0.18675,-0.00270
73.75,0.18620,-0.00267
73.76,0.18690,-0.00269
73.77,0.18757,-0.00269
73.78,0.18767,-0.00267
73.79,0.18682,-0.00266
73.80,0.18702,-0.00267
73.81,0.18706,-0.00266
73.82,0.18713,-0.00266
73.83,0.18781,-0.00269
73.84,0.18752,-0.00269
73.85,0.18677,-0.00269
73.86,0.18744,-0.00269
73.87,0.18737,-0.00269
73.88,0.18696,-0.00269
73.89,0.18822,-0.00269
73.90,0.18717,-0.00269
73.91,0.18716,-0.00268
73.92,0.18828,-0.00269
73.93,0.18758,-0.00267
73.94,0.18752,-0.00267
73.95,0.18771,-0.00269
73.96,0.18865,-0.00270
73.97,0.18757,-0.00267
73.98,0.18737,-0.00266
73.99,0.18723,-0.00266
74.00,0.18783,-0.00267
