l2_pos_deg,ch1_V,ch3_V
3.0000,0.33477,0.08416
6.0000,0.38517,0.09839
9.0000,0.42999,0.11122
12.0000,0.4676,0.12211
15.0000,0.49633,0.13016
18.0000,0.51486,0.13516
21.0000,0.52164,0.13704
24.0000,0.51729,0.13576
27.0000,0.50177,0.13119
30.0000,0.47595,0.12384
33.0000,0.44017,0.11363
36.0000,0.39666,0.10114
39.0000,0.34781,0.08715
42.0000,0.29466,0.07183
45.0000,0.24031,0.05639
48.0000,0.18661,0.04122
51.0000,0.1359,0.02693
54.0000,0.0906,0.0142
57.0000,0.05278,0.0036
60.0000,0.02396,-0.00441
63.0000,0.00554,-0.00952
66.0000,-0.00166,-0.01149
69.0000,0.00259,-0.01021
72.0000,0.01819,-0.00575
75.0000,0.04437,0.00167
78.0000,0.08001,0.01177
81.0000,0.1234,0.02408
84.0000,0.17284,0.03809
87.0000,0.22602,0.05309
90.0000,0.28078,0.06862
