l2_pos_deg,ch1_V,ch3_V
3.0000,0.33454,0.08426
6.0000,0.38523,0.09857
9.0000,0.42998,0.1112
12.0000,0.46739,0.12221
15.0000,0.4961,0.13035
18.0000,0.51422,0.13513
21.0000,0.52174,0.13708
24.0000,0.51701,0.13575
27.0000,0.50124,0.13137
30.0000,0.47574,0.12365
33.0000,0.44005,0.11366
36.0000,0.3968,0.10138
39.0000,0.34775,0.08732
42.0000,0.2949,0.07202
45.0000,0.24026,0.05649
48.0000,0.18656,0.04126
51.0000,0.13589,0.02693
54.0000,0.09059,0.0142
57.0000,0.05277,0.00358
60.0000,0.02397,-0.00443
63.0000,0.00555,-0.00953
66.0000,-0.00169,-0.01149
69.0000,0.00258,-0.01022
72.0000,0.01816,-0.00576
75.0000,0.04436,0.00169
78.0000,0.07996,0.01179
81.0000,0.12334,0.02407
84.0000,0.17279,0.03802
87.0000,0.22606,0.05315
90.0000,0.28072,0.06855
