l2_pos_deg,ch1_V,ch3_V
3.0000,0.3345,0.08423
6.0000,0.38513,0.09856
9.0000,0.42993,0.11139
12.0000,0.46768,0.12212
15.0000,0.49577,0.13032
18.0000,0.51461,0.13525
21.0000,0.52161,0.13719
24.0000,0.51702,0.13599
27.0000,0.50141,0.13116
30.0000,0.4756,0.12386
33.0000,0.44015,0.11362
36.0000,0.39685,0.10124
39.0000,0.34755,0.08722
42.0000,0.29488,0.07202
45.0000,0.2404,0.05658
48.0000,0.18655,0.04137
51.0000,0.13583,0.02698
54.0000,0.09057,0.01422
57.0000,0.05275,0.0036
60.0000,0.02399,-0.00442
63.0000,0.00556,-0.00951
66.0000,-0.00168,-0.01148
69.0000,0.00259,-0.01021
72.0000,0.01817,-0.00574
75.0000,0.04435,0.00168
78.0000,0.07996,0.01179
81.0000,0.12347,0.02413
84.0000,0.17284,0.03806
87.0000,0.22606,0.05314
90.0000,0.28069,0.06855
