l2_pos_deg,ch1_V,ch3_V
3.0000,0.33456,0.08414
6.0000,0.38523,0.09848
9.0000,0.43039,0.11134
12.0000,0.46763,0.12207
15.0000,0.49557,0.13002
18.0000,0.51465,0.1352
21.0000,0.52155,0.13682
24.0000,0.51722,0.13575
27.0000,0.50201,0.13117
30.0000,0.47611,0.12373
33.0000,0.44031,0.11359
36.0000,0.39691,0.10116
39.0000,0.34764,0.08715
42.0000,0.29492,0.07193
45.0000,0.24029,0.05656
48.0000,0.18653,0.04136
51.0000,0.13594,0.02694
54.0000,0.09059,0.01422
57.0000,0.05276,0.00361
60.0000,0.02396,-0.00441
63.0000,0.00555,-0.0095
66.0000,-0.00169,-0.01147
69.0000,0.00258,-0.0102
72.0000,0.01817,-0.00575
75.0000,0.04437,0.00169
78.0000,0.08001,0.01175
81.0000,0.1233,0.02405
84.0000,0.17283,0.03806
87.0000,0.22606,0.05312
90.0000,0.28076,0.06855
