l2_pos_deg,ch1_V,ch3_V
3.0000,0.33459,0.08419
6.0000,0.38521,0.09849
9.0000,0.42969,0.11131
12.0000,0.46749,0.12205
15.0000,0.4959,0.13018
18.0000,0.51454,0.13529
21.0000,0.52172,0.13697
24.0000,0.51722,0.13568
27.0000,0.50176,0.13129
30.0000,0.47566,0.1237
33.0000,0.44019,0.11355
36.0000,0.39702,0.10125
39.0000,0.3477,0.08715
42.0000,0.29489,0.07214
45.0000,0.24036,0.05656
48.0000,0.18662,0.04129
51.0000,0.13591,0.02692
54.0000,0.09063,0.0142
57.0000,0.0528,0.0036
60.0000,0.024,-0.00441
63.0000,0.00557,-0.00952
66.0000,-0.00168,-0.01148
69.0000,0.00261,-0.01021
72.0000,0.01818,-0.00577
75.0000,0.04435,0.00165
78.0000,0.08004,0.01175
81.0000,0.12351,0.02408
84.0000,0.1727,0.03803
87.0000,0.22599,0.05309
90.0000,0.28088,0.06854
