l2_pos_deg,ch1_V,ch3_V
3.0000,0.33436,0.0843
6.0000,0.38483,0.09858
9.0000,0.42978,0.11148
12.0000,0.46702,0.12227
15.0000,0.49551,0.13045
18.0000,0.51444,0.13544
21.0000,0.52147,0.13714
24.0000,0.51695,0.13575
27.0000,0.50165,0.1314
30.0000,0.47564,0.1238
33.0000,0.4402,0.11358
36.0000,0.39697,0.10138
39.0000,0.34758,0.08728
42.0000,0.29477,0.07211
45.0000,0.24028,0.05656
48.0000,0.18638,0.04134
51.0000,0.13588,0.02699
54.0000,0.09059,0.01425
57.0000,0.05275,0.00363
60.0000,0.02401,-0.0044
63.0000,0.00557,-0.00951
66.0000,-0.00168,-0.01148
69.0000,0.00259,-0.01021
72.0000,0.01816,-0.00578
75.0000,0.04431,0.00168
78.0000,0.07998,0.01178
81.0000,0.12327,0.02407
84.0000,0.17258,0.03809
87.0000,0.22591,0.05313
90.0000,0.2806,0.06856
