l2_pos_deg,ch1_V,ch3_V
3.0000,0.33383,0.08423
6.0000,0.38427,0.09836
9.0000,0.42929,0.11146
12.0000,0.46638,0.12231
15.0000,0.49504,0.13045
18.0000,0.51371,0.13529
21.0000,0.52104,0.13706
24.0000,0.51645,0.13562
27.0000,0.50091,0.13135
30.0000,0.47525,0.12385
33.0000,0.43944,0.11357
36.0000,0.39646,0.10145
39.0000,0.34729,0.08733
42.0000,0.29448,0.07212
45.0000,0.24004,0.05657
48.0000,0.18635,0.04134
51.0000,0.13565,0.02696
54.0000,0.09062,0.01429
57.0000,0.05274,0.00365
60.0000,0.02395,-0.0044
63.0000,0.00556,-0.00952
66.0000,-0.00168,-0.01148
69.0000,0.00261,-0.01021
72.0000,0.01814,-0.00575
75.0000,0.04427,0.0017
78.0000,0.0799,0.01178
81.0000,0.12323,0.02411
84.0000,0.17258,0.03806
87.0000,0.22571,0.05316
90.0000,0.28031,0.06861
