l2_pos_deg,ch1_V,ch3_V
3.0000,0.33443,0.08414
6.0000,0.38509,0.09848
9.0000,0.43001,0.11143
12.0000,0.46743,0.12226
15.0000,0.49581,0.13032
18.0000,0.51422,0.13522
21.0000,0.52163,0.13707
24.0000,0.51724,0.13585
27.0000,0.5018,0.13142
30.0000,0.47568,0.124
33.0000,0.44008,0.11358
36.0000,0.39696,0.10128
39.0000,0.34744,0.08722
42.0000,0.29483,0.07204
45.0000,0.24038,0.0564
48.0000,0.18665,0.04129
51.0000,0.13591,0.02697
54.0000,0.09065,0.01425
57.0000,0.05278,0.00362
60.0000,0.02398,-0.00442
63.0000,0.00557,-0.00952
66.0000,-0.00168,-0.01148
69.0000,0.00259,-0.01021
72.0000,0.01818,-0.00574
75.0000,0.04433,0.00168
78.0000,0.07999,0.01178
81.0000,0.12341,0.02409
84.0000,0.17282,0.03814
87.0000,0.22609,0.05314
90.0000,0.2807,0.06854
