current_mA,ch1_V,ch3_V
72.01,0.10567,-0.00130
72.02,0.10595,-0.00130
72.03,0.10599,-0.00129
72.04,0.10568,-0.00129
72.05,0.10568,-0.00129
72.06,0.10585,-0.00128
72.07,0.10585,-0.00128
72.08,0.10571,-0.00128
72.09,0.10589,-0.00129
72.10,0.10590,-0.00128
72.11,0.10632,-0.00128
72.12,0.10644,-0.00127
72.13,0.10583,-0.00128
72.14,0.10660,-0.00128
72.15,0.10567,-0.00128
72.16,0.10544,-0.00128
72.17,0.10468,-0.00129
72.18,0.10474,-0.00129
72.19,0.10436,-0.00128
72.20,0.10463,-0.00128
72.21,0.10500,-0.00127
72.22,0.10559,-0.00126
72.23,0.10551,-0.00129
72.24,0.10550,-0.00128
72.25,0.10537,-0.00128
72.26,0.10470,-0.00129
72.27,0.10491,-0.00128
72.28,0.10463,-0.00128
72.29,0.10465,-0.00128
72.30,0.10449,-0.00125
72.31,0.10415,-0.00125
72.32,0.10426,-0.00125
72.33,0.10480,-0.00123
72.34,0.10492,-0.00124
72.35,0.10512,-0.00123
72.36,0.10508,-0.00123
72.37,0.10550,-0.00117
72.38,0.10506,-0.00120
72.39,0.10485,-0.00127
72.40,0.10436,-0.00135
72.41,0.10470,-0.00109
72.42,0.10508,-0.00100
72.43,0.10503,-0.00094
72.44,0.10415,-0.00138
72.45,0.10271,-0.00116
72.46,0.10306,-0.00090
72.47,0.10347,-0.00083
72.48,0.10370,-0.00100
72.49,0.10380,-0.00087
72.50,0.10377,-0.00070
72.51,0.10151,-0.00021
72.52,0.10197,-0.00473
72.53,0.10297,0.00201
72.54,0.10207,-0.00147
72.55,0.10333,-0.00079
72.56,0.10188,0.00087
72.57,0.10087,-0.00428
72.58,0.09894,0.00085
72.59,0.10045,0.00072
72.60,0.09930,0.00441
72.61,0.09556,0.00923
72.62,0.09049,0.02765
72.63,0.09269,-0.04119
72.64,0.08169,-0.01889
72.65,0.08185,-0.01373
72.66,0.08499,-0.01150
72.67,0.09069,-0.00543
72.68,0.09532,-0.00469
72.69,0.09736,-0.00354
72.70,0.09985,-0.00296
72.71,0.10199,-0.00237
72.72,0.10252,-0.00208
72.73,0.10411,-0.00199
72.74,0.10429,-0.00191
72.75,0.10497,-0.00180
72.76,0.10506,-0.00177
72.77,0.10509,-0.00172
72.78,0.10639,-0.00171
72.79,0.10537,-0.00167
72.80,0.10564,-0.00164
72.81,0.10588,-0.00162
72.82,0.10567,-0.00159
72.83,0.10617,-0.00158
72.84,0.10610,-0.00157
72.85,0.10651,-0.00156
72.86,0.10653,-0.00157
72.87,0.10660,-0.00156
72.88,0.10646,-0.00154
72.89,0.10680,-0.00154
72.90,0.10653,-0.00153
72.91,0.10671,-0.00151
72.92,0.10678,-0.00150
