current_mA,voltage_V
72.01,0.792
72.02,0.7931
72.03,0.7935
72.04,0.7934
72.05,0.793
72.06,0.7945
72.07,0.7958
72.08,0.7953
72.09,0.7936
72.10,0.7942
72.11,0.7959
72.12,0.796
72.13,0.796
72.14,0.7958
72.15,0.7951
72.16,0.7961
72.17,0.7938
72.18,0.7961
72.19,0.7929
72.20,0.7916
72.21,0.7922
72.22,0.7922
72.23,0.7931
72.24,0.793
72.25,0.7928
72.26,0.7932
72.27,0.793
72.28,0.7932
72.29,0.7942
72.30,0.7949
72.31,0.7973
72.32,0.797
72.33,0.7964
72.34,0.7988
72.35,0.7974
72.36,0.799
72.37,0.7983
72.38,0.798
72.39,0.8008
72.40,0.802
72.41,0.8033
72.42,0.8038
72.43,0.8031
72.44,0.8028
72.45,0.8039
72.46,0.8
72.47,0.7973
72.48,0.7939
72.49,0.7897
72.50,0.792
72.51,0.7935
72.52,0.7941
72.53,0.7969
72.54,0.7984
72.55,0.8003
72.56,0.7996
72.57,0.7998
72.58,0.7926
72.59,0.7935
72.60,0.7878
72.61,0.7892
72.62,0.787
72.63,0.7852
72.64,0.7863
72.65,0.7869
72.66,0.7916
72.67,0.7933
72.68,0.7959
72.69,0.7993
72.70,0.7985
72.71,0.7976
72.72,0.7976
72.73,0.793
72.74,0.7941
72.75,0.7942
72.76,0.7845
72.77,0.7768
72.78,0.7681
72.79,0.7709
72.80,0.7776
72.81,0.7772
72.82,0.7761
72.83,0.7955
72.84,0.7989
72.85,0.802
72.86,0.8019
72.87,0.8013
72.88,0.8304
72.89,0.8302
72.90,0.8325
72.91,0.8274
72.92,0.7945
72.93,0.7753
72.94,0.775
72.95,0.7493
72.96,0.7248
72.97,0.7288
72.98,0.7433
72.99,0.7632
73.00,0.7726
73.01,0.7809
73.02,0.7899
73.03,0.7959
73.04,0.8026
73.05,0.801
73.06,0.8016
73.07,0.8023
73.08,0.8059
73.09,0.8038
73.10,0.8061
73.11,0.8076
73.12,0.809
73.13,0.8086
73.14,0.8053
73.15,0.8092
73.16,0.8081
73.17,0.8083
73.18,0.8081
73.19,0.8076
73.20,0.8067
73.21,0.8084
73.22,0.8115
73.23,0.81
73.24,0.8117
73.25,0.8095
73.26,0.8097
73.27,0.8107
73.28,0.8094
73.29,0.8104
73.30,0.8118
73.31,0.8095
73.32,0.808
73.33,0.8097
73.34,0.8094
73.35,0.8087
73.36,0.8084
73.37,0.8096
73.38,0.8103
73.39,0.8105
73.40,0.8094
73.41,0.8104
73.42,0.8104
73.43,0.809
73.44,0.8123
73.45,0.8123
73.46,0.8132
73.47,0.8125
73.48,0.8116
73.49,0.8119
73.50,0.8103
73.51,0.809
73.52,0.8126
73.53,0.8144
73.54,0.8112
73.55,0.8116
73.56,0.8126
73.57,0.8134
73.58,0.8104
73.59,0.8105
73.60,0.8132
73.61,0.8142
73.62,0.8157
73.63,0.8136
73.64,0.8148
73.65,0.8148
73.66,0.8153
73.67,0.8131
73.68,0.8162
73.69,0.8158
73.70,0.8141
73.71,0.8124
73.72,0.8138
73.73,0.8142
73.74,0.8147
73.75,0.8172
73.76,0.8175
73.77,0.8152
73.78,0.8176
73.79,0.8159
73.80,0.8174
73.81,0.8159
73.82,0.8175
73.83,0.8176
73.84,0.817
73.85,0.8179
73.86,0.8183
73.87,0.8197
73.88,0.8189
73.89,0.817
73.90,0.8168
73.91,0.8182
73.92,0.8189
73.93,0.8204
73.94,0.8191
73.95,0.8188
73.96,0.816
73.97,0.8204
73.98,0.8147
73.99,0.8161
74.00,0.8192
