current_mA,ch1_V,ch3_V
72.01,0.00083,0.24839
72.02,0.00083,0.24840
72.03,0.00078,0.24841
72.04,0.00078,0.24843
72.05,0.00075,0.24845
72.06,0.00073,0.24841
72.07,0.00072,0.24851
72.08,0.00072,0.24842
72.09,0.00070,0.24843
72.10,0.00068,0.24845
72.11,0.00067,0.24848
72.12,0.00067,0.24838
72.13,0.00065,0.24842
72.14,0.00064,0.24842
72.15,0.00062,0.24841
72.16,0.00065,0.24839
72.17,0.00066,0.24842
72.18,0.00066,0.24844
72.19,0.00066,0.24848
72.20,0.00066,0.24848
72.21,0.00066,0.24846
72.22,0.00064,0.24840
72.23,0.00061,0.24851
72.24,0.00061,0.24842
72.25,0.00061,0.24844
72.26,0.00063,0.24846
72.27,0.00067,0.24848
72.28,0.00067,0.24846
72.29,0.00067,0.24847
72.30,0.00067,0.24850
72.31,0.00070,0.24853
72.32,0.00080,0.24844
72.33,0.00078,0.24851
