l2_pos_deg,voltage_V
0.1000,0.7807
0.2000,0.7783
0.3000,0.7789
0.4000,0.7805
0.5000,0.7807
0.6000,0.7783
0.7000,0.777
0.8000,0.7772
0.9000,0.7767
1.0000,0.7753
1.1000,0.7742
1.2000,0.7735
1.3000,0.7718
1.4000,0.7727
1.5000,0.7713
1.6000,0.7702
1.7000,0.7712
1.8000,0.7683
1.9000,0.7669
2.0000,0.768
2.1000,0.7676
2.2000,0.768
2.2999,0.7658
2.3999,0.7661
2.4999,0.7646
2.5999,0.7614
2.6999,0.7617
2.7999,0.7648
2.8999,0.7609
2.9999,0.7596
3.0999,0.7574
3.1999,0.7577
3.2999,0.7568
3.3999,0.7562
3.4999,0.7548
3.5999,0.7544
3.6999,0.7544
3.7999,0.7519
3.8999,0.7504
3.9999,0.7478
4.0999,0.7502
4.1999,0.7487
4.2999,0.747
4.3999,0.7469
4.4999,0.744
4.5999,0.7451
4.6999,0.7437
4.7999,0.742
4.8999,0.7409
4.9999,0.7374
5.0999,0.737
5.1999,0.7357
5.2999,0.7366
5.3999,0.7352
5.4999,0.7334
5.5999,0.734
5.6999,0.7326
5.7999,0.7305
