current_mA,ch1_V,ch3_V
72.01,0.19750,-0.00118
72.02,0.19776,-0.00115
72.03,0.19830,-0.00116
72.04,0.19834,-0.00115
72.05,0.19816,-0.00117
72.06,0.19804,-0.00116
72.07,0.19807,-0.00114
72.08,0.19768,-0.00116
72.09,0.19844,-0.00113
72.10,0.19844,-0.00113
72.11,0.19892,-0.00113
72.12,0.19892,-0.00112
72.13,0.19946,-0.00111
72.14,0.19927,-0.00109
72.15,0.19907,-0.00110
72.16,0.19777,-0.00110
72.17,0.19693,-0.00110
72.18,0.19590,-0.00109
72.19,0.19467,-0.00108
72.20,0.19505,-0.00108
72.21,0.19532,-0.00107
72.22,0.19561,-0.00105
72.23,0.19702,-0.00107
72.24,0.19719,-0.00106
72.25,0.19681,-0.00108
72.26,0.19635,-0.00104
72.27,0.19550,-0.00104
72.28,0.19531,-0.00106
72.29,0.19460,-0.00102
72.30,0.19463,-0.00099
72.31,0.19400,-0.00101
72.32,0.19412,-0.00098
72.33,0.19476,-0.00090
72.34,0.19503,-0.00092
72.35,0.19574,-0.00093
72.36,0.19589,-0.00093
72.37,0.19632,-0.00079
72.38,0.19613,-0.00079
72.39,0.19599,-0.00079
72.40,0.19480,-0.00104
72.41,0.19439,-0.00071
72.42,0.19484,-0.00027
72.43,0.19519,-0.00011
72.44,0.19468,-0.00032
72.45,0.19312,-0.00097
72.46,0.18982,-0.00082
72.47,0.18900,-0.00011
72.48,0.18899,0.00025
72.49,0.19075,-0.00044
72.50,0.18973,-0.00021
72.51,0.18811,0.00168
72.52,0.18688,0.00019
72.53,0.19006,-0.00291
72.54,0.18619,-0.00039
72.55,0.18736,0.00140
72.56,0.18653,0.00436
72.57,0.18442,0.00312
72.58,0.18116,0.00244
72.59,0.17379,0.00863
72.60,0.17443,0.01710
72.61,0.17380,0.03679
72.62,0.16227,0.04101
72.63,0.16230,-0.01227
72.64,0.17550,-0.04934
72.65,0.15003,-0.03351
72.66,0.15306,-0.02473
72.67,0.16058,-0.02000
72.68,0.16099,-0.01442
72.69,0.17187,-0.01254
72.70,0.17582,-0.00785
72.71,0.18561,-0.00514
72.72,0.18772,-0.00458
72.73,0.19066,-0.00369
72.74,0.19134,-0.00341
72.75,0.19276,-0.00312
72.76,0.19357,-0.00273
72.77,0.19523,-0.00251
72.78,0.19575,-0.00240
72.79,0.19578,-0.00225
72.80,0.19745,-0.00217
72.81,0.19805,-0.00208
72.82,0.19851,-0.00204
72.83,0.19851,-0.00196
