l2_pos_deg,voltage_V
-4.9974,0.7908
-7.9974,0.7928
-10.9974,0.791
-13.9974,0.7808
-16.9974,0.7713
-19.9974,0.7599
-22.9974,0.7325
-25.9974,0.7246
-28.9974,0.6797
-31.9974,0.6798
-34.9974,0.6148
-37.9974,0.6195
-40.9974,0.5448
-43.9974,0.5525
-46.9974,0.4745
-49.9974,0.4716
-52.9974,0.4021
-55.9974,0.3833
-58.9974,0.3326
-61.9974,0.2957
-64.9974,0.2647
-67.9974,0.2118
-70.9974,0.1993
-73.9974,0.138
-76.9974,0.1364
-79.9974,0.0771
-82.9974,0.0812
-85.9974,0.0316
-88.9974,0.0347
-91.9974,0.0043
-94.9974,0.0017
-97.9974,0.0
-100.9974,0.0
-103.9974,0.0
-106.9974,0.0
-109.9974,0.0022
-112.9974,0.0086
-115.9974,0.016
-118.9974,0.0479
-121.9974,0.0497
-124.9974,0.1017
-127.9974,0.0955
-130.9974,0.1648
-133.9974,0.1559
-136.9974,0.2326
-139.9974,0.2301
-142.9974,0.3033
