l2_pos_deg,ch1_V,ch3_V
3.0000,-0.00182,0.15234
6.0000,-0.00182,0.17663
9.0000,-0.00182,0.1987
12.0000,-0.00182,0.21759
15.0000,-0.00182,0.23122
18.0000,-0.00179,0.24035
21.0000,-0.00184,0.24306
24.0000,-0.00185,0.24091
27.0000,-0.00184,0.23348
30.0000,-0.00184,0.22072
33.0000,-0.00187,0.20345
36.0000,-0.00186,0.18241
39.0000,-0.00187,0.15825
42.0000,-0.00185,0.13225
45.0000,-0.00186,0.10562
48.0000,-0.00187,0.07946
51.0000,-0.00186,0.05492
54.0000,-0.00187,0.03318
57.0000,-0.00186,0.01473
60.0000,-0.00185,0.00092
63.0000,-0.00187,-0.00794
66.0000,-0.00187,-0.01139
69.0000,-0.00187,-0.00928
72.0000,-0.00187,-0.00171
75.0000,-0.00187,0.011
78.0000,-0.00187,0.0283
81.0000,-0.00188,0.04946
84.0000,-0.00188,0.07347
87.0000,-0.00188,0.09927
90.0000,-0.00188,0.12552
