l2_pos_deg,ch1_V,ch3_V
3.0000,0.23809,0.24602
6.0000,0.2491,0.24692
9.0000,0.24818,0.24799
12.0000,0.24797,0.24792
15.0000,0.24793,0.24796
18.0000,0.24785,0.24799
21.0000,0.2478,0.24795
24.0000,0.24789,0.24794
27.0000,0.2479,0.24789
30.0000,0.24792,0.2479
33.0000,0.24792,0.2479
36.0000,0.24786,0.24798
39.0000,0.24773,0.24794
42.0000,0.24783,0.24796
45.0000,0.24792,0.24791
48.0000,0.24797,0.24796
51.0000,0.24792,0.24789
54.0000,0.24792,0.24792
57.0000,0.24775,0.24789
60.0000,0.2477,0.2479
63.0000,0.24777,0.24797
66.0000,0.24791,0.24791
69.0000,0.248,0.24789
72.0000,0.24791,0.24786
75.0000,0.24787,0.2479
78.0000,0.24788,0.24784
81.0000,0.2478,0.24796
84.0000,0.24783,0.24795
87.0000,0.24783,0.24793
90.0000,0.24787,0.24788
