current_mA,voltage_V
72.01,0.64343
72.02,0.64383
72.03,0.64050
72.04,0.64194
72.05,0.64181
72.06,0.64072
72.07,0.64181
72.08,0.64309
72.09,0.64389
72.10,0.64659
72.11,0.64596
72.12,0.64205
72.13,0.64237
72.14,0.64169
72.15,0.64157
72.16,0.64154
72.17,0.64211
72.18,0.64281
72.19,0.64640
72.20,0.64671
72.21,0.64643
72.22,0.64658
72.23,0.64534
72.24,0.64566
72.25,0.64738
72.26,0.64373
72.27,0.64440
72.28,0.64746
72.29,0.64759
72.30,0.64451
72.31,0.64587
72.32,0.64646
72.33,0.65027
72.34,0.64754
72.35,0.64859
72.36,0.64886
72.37,0.64855
72.38,0.64699
72.39,0.64754
72.40,0.64713
72.41,0.64721
72.42,0.64779
72.43,0.64917
72.44,0.64853
72.45,0.64782
72.46,0.64971
72.47,0.64506
72.48,0.65008
72.49,0.64981
72.50,0.64975
72.51,0.64930
72.52,0.64641
72.53,0.64649
72.54,0.64704
72.55,0.64949
72.56,0.64535
72.57,0.64590
72.58,0.64842
72.59,0.64786
72.60,0.64970
72.61,0.64961
72.62,0.64630
72.63,0.64579
72.64,0.64551
72.65,0.64620
72.66,0.64683
72.67,0.64797
72.68,0.64567
72.69,0.64342
72.70,0.64379
72.71,0.64490
72.72,0.64677
72.73,0.64473
72.74,0.64613
72.75,0.64936
72.76,0.65238
72.77,0.65264
72.78,0.65137
72.79,0.64838
72.80,0.65000
72.81,0.65308
72.82,0.65303
72.83,0.65380
72.84,0.65615
72.85,0.66248
72.86,0.65141
72.87,0.63277
72.88,0.63116
72.89,0.63765
72.90,0.64196
72.91,0.64871
72.92,0.65020
72.93,0.64666
72.94,0.65007
72.95,0.64990
72.96,0.64973
72.97,0.65169
72.98,0.65225
72.99,0.65051
73.00,0.65382
73.01,0.65488
73.02,0.65315
73.03,0.65394
73.04,0.65384
73.05,0.65361
73.06,0.65600
73.07,0.65375
73.08,0.65303
73.09,0.65198
73.10,0.65439
73.11,0.65332
73.12,0.65157
73.13,0.65553
73.14,0.65769
73.15,0.65637
73.16,0.65751
73.17,0.65415
73.18,0.65428
73.19,0.65385
73.20,0.65452
73.21,0.65300
73.22,0.65347
73.23,0.65381
73.24,0.65351
73.25,0.65338
73.26,0.65363
73.27,0.65341
73.28,0.65467
73.29,0.65772
73.30,0.65691
73.31,0.65330
73.32,0.65658
73.33,0.65673
73.34,0.65830
73.35,0.65791
73.36,0.65614
73.37,0.65497
73.38,0.65736
73.39,0.65966
73.40,0.65803
73.41,0.66016
73.42,0.65874
73.43,0.65742
73.44,0.65518
73.45,0.65803
73.46,0.66058
73.47,0.66078
73.48,0.65798
73.49,0.65965
73.50,0.65630
73.51,0.65691
73.52,0.65835
73.53,0.65713
73.54,0.66010
73.55,0.65927
73.56,0.66185
73.57,0.66048
73.58,0.65911
73.59,0.65865
73.60,0.65841
73.61,0.65811
73.62,0.65758
73.63,0.65795
73.64,0.65891
73.65,0.65960
73.66,0.66058
73.67,0.65981
73.68,0.65859
73.69,0.65774
73.70,0.65839
73.71,0.65774
73.72,0.66007
73.73,0.65818
73.74,0.65823
73.75,0.65932
73.76,0.66145
73.77,0.66237
73.78,0.66225
73.79,0.66035
73.80,0.65957
73.81,0.65903
73.82,0.66209
73.83,0.66265
73.84,0.66332
73.85,0.66201
73.86,0.66441
73.87,0.66360
73.88,0.66347
73.89,0.66047
73.90,0.66192
73.91,0.66142
73.92,0.66075
73.93,0.66216
73.94,0.66394
73.95,0.66472
73.96,0.66436
73.97,0.66519
73.98,0.66307
73.99,0.66149
74.00,0.66352
