current_mA,voltage_V
72.01,0.65314
72.02,0.65312
72.03,0.65184
72.04,0.65288
72.05,0.65179
72.06,0.65416
72.07,0.65261
72.08,0.65328
72.09,0.65321
72.10,0.65515
72.11,0.65474
72.12,0.65500
72.13,0.65358
72.14,0.65116
72.15,0.65163
72.16,0.65123
72.17,0.65104
72.18,0.65295
72.19,0.65328
72.20,0.65456
72.21,0.65553
72.22,0.65535
72.23,0.65472
72.24,0.65277
72.25,0.65229
72.26,0.65560
72.27,0.65640
72.28,0.65695
72.29,0.65454
72.30,0.65549
72.31,0.65363
72.32,0.65340
72.33,0.65373
72.34,0.65683
72.35,0.65837
72.36,0.65796
72.37,0.65711
72.38,0.65559
72.39,0.65599
72.40,0.65615
72.41,0.65647
72.42,0.65616
72.43,0.65700
72.44,0.65712
72.45,0.65783
72.46,0.65852
72.47,0.65824
72.48,0.65879
72.49,0.65742
72.50,0.65788
72.51,0.65996
72.52,0.65645
72.53,0.65836
72.54,0.65582
72.55,0.65779
72.56,0.65610
72.57,0.65726
72.58,0.65459
72.59,0.65516
72.60,0.65761
72.61,0.65624
72.62,0.65681
72.63,0.65570
72.64,0.65557
72.65,0.65930
72.66,0.65998
72.67,0.65932
72.68,0.65751
72.69,0.65598
72.70,0.65546
72.71,0.65478
72.72,0.65542
72.73,0.65533
72.74,0.65716
72.75,0.65472
72.76,0.65665
72.77,0.66000
72.78,0.66030
72.79,0.65834
72.80,0.66012
72.81,0.66353
72.82,0.66631
72.83,0.66896
72.84,0.66984
72.85,0.66781
72.86,0.65416
72.87,0.65160
72.88,0.64536
72.89,0.64922
72.90,0.65490
72.91,0.65798
72.92,0.65930
72.93,0.65633
72.94,0.65876
72.95,0.66317
72.96,0.66562
72.97,0.66035
72.98,0.65978
72.99,0.66212
73.00,0.66330
73.01,0.66287
73.02,0.66296
73.03,0.66192
73.04,0.66431
73.05,0.66686
73.06,0.66727
73.07,0.66555
73.08,0.66483
73.09,0.66399
73.10,0.66337
73.11,0.66682
73.12,0.66572
73.13,0.66682
73.14,0.66318
73.15,0.66523
73.16,0.66577
73.17,0.66460
73.18,0.66590
73.19,0.66573
73.20,0.66618
73.21,0.66728
73.22,0.66540
73.23,0.66404
73.24,0.66561
73.25,0.66706
73.26,0.66720
73.27,0.66812
73.28,0.66671
73.29,0.66785
73.30,0.66713
73.31,0.66865
73.32,0.66765
73.33,0.66743
73.34,0.66734
73.35,0.66580
73.36,0.66445
73.37,0.66513
73.38,0.66685
73.39,0.66806
73.40,0.66923
73.41,0.66655
73.42,0.66792
73.43,0.67056
73.44,0.66841
73.45,0.66857
73.46,0.67069
73.47,0.66846
73.48,0.67008
73.49,0.67194
73.50,0.66876
73.51,0.66799
73.52,0.66779
73.53,0.66936
73.54,0.66943
73.55,0.66692
73.56,0.66909
73.57,0.66893
73.58,0.66924
73.59,0.66964
73.60,0.67060
73.61,0.66904
73.62,0.66664
73.63,0.66635
73.64,0.66711
73.65,0.66897
73.66,0.66844
73.67,0.66769
73.68,0.66943
73.69,0.67109
73.70,0.66769
73.71,0.67062
73.72,0.67323
73.73,0.67057
73.74,0.66858
73.75,0.67091
73.76,0.67094
73.77,0.67199
73.78,0.66973
73.79,0.67290
73.80,0.67343
73.81,0.67231
73.82,0.67362
73.83,0.67358
73.84,0.67367
73.85,0.67129
73.86,0.67091
73.87,0.67168
73.88,0.67299
73.89,0.67270
73.90,0.67242
73.91,0.67337
73.92,0.67454
73.93,0.67018
73.94,0.67428
73.95,0.67103
73.96,0.67340
73.97,0.67184
73.98,0.67356
73.99,0.67453
74.00,0.67500
