current_mA,voltage_V
72.01,0.70668
72.02,0.70681
72.03,0.70731
72.04,0.70691
72.05,0.70776
72.06,0.70616
72.07,0.70560
72.08,0.70780
72.09,0.70793
72.10,0.70931
72.11,0.70880
72.12,0.70865
72.13,0.70824
72.14,0.70858
72.15,0.70842
72.16,0.70687
72.17,0.70750
72.18,0.70454
72.19,0.70689
72.20,0.70569
72.21,0.70625
72.22,0.70859
72.23,0.70850
72.24,0.70837
72.25,0.70931
72.26,0.71019
72.27,0.71034
72.28,0.71094
72.29,0.71016
72.30,0.71117
72.31,0.71054
72.32,0.71062
72.33,0.71263
72.34,0.71359
72.35,0.71456
72.36,0.71149
72.37,0.71115
72.38,0.70883
72.39,0.70906
72.40,0.70734
72.41,0.70609
72.42,0.70578
72.43,0.70823
72.44,0.70826
72.45,0.70947
72.46,0.70919
72.47,0.71070
72.48,0.70917
72.49,0.70698
72.50,0.70837
72.51,0.70699
72.52,0.70551
72.53,0.70659
72.54,0.70701
72.55,0.70968
72.56,0.71120
72.57,0.71142
72.58,0.70783
72.59,0.70981
72.60,0.71071
72.61,0.71055
72.62,0.70953
72.63,0.71045
72.64,0.70668
72.65,0.70524
72.66,0.70168
72.67,0.69847
72.68,0.69900
72.69,0.69992
72.70,0.69924
72.71,0.70136
72.72,0.70152
72.73,0.70942
72.74,0.70911
72.75,0.71158
72.76,0.71365
72.77,0.72146
72.78,0.72108
72.79,0.72298
72.80,0.73261
72.81,0.73790
72.82,0.71994
72.83,0.69600
72.84,0.68512
72.85,0.66256
72.86,0.66972
72.87,0.68313
72.88,0.69217
72.89,0.69909
72.90,0.70593
72.91,0.70805
72.92,0.71335
72.93,0.71456
72.94,0.71379
72.95,0.71775
72.96,0.71590
72.97,0.71826
72.98,0.71932
72.99,0.72089
73.00,0.71831
73.01,0.72000
73.02,0.72067
73.03,0.71870
73.04,0.71844
73.05,0.72139
73.06,0.71951
73.07,0.72039
73.08,0.71929
73.09,0.72070
73.10,0.72133
73.11,0.72089
73.12,0.72124
73.13,0.71878
73.14,0.71995
73.15,0.72125
73.16,0.72245
73.17,0.72101
73.18,0.72115
73.19,0.72104
73.20,0.71935
73.21,0.72111
73.22,0.72201
73.23,0.72183
73.24,0.72281
73.25,0.72001
73.26,0.72105
73.27,0.72098
73.28,0.71994
73.29,0.72112
73.30,0.71982
73.31,0.72005
73.32,0.72254
73.33,0.72008
73.34,0.72022
73.35,0.72099
73.36,0.72272
73.37,0.72321
73.38,0.72216
73.39,0.72111
73.40,0.72053
73.41,0.71980
73.42,0.72153
73.43,0.72157
73.44,0.72055
73.45,0.72163
73.46,0.72139
73.47,0.72212
73.48,0.72506
73.49,0.72510
73.50,0.72498
73.51,0.72346
73.52,0.72181
73.53,0.72066
73.54,0.72229
73.55,0.72503
73.56,0.72651
73.57,0.72383
73.58,0.72481
73.59,0.72652
73.60,0.72357
73.61,0.72375
73.62,0.72380
73.63,0.72614
73.64,0.72579
73.65,0.72697
73.66,0.72706
73.67,0.72569
73.68,0.72722
73.69,0.72625
73.70,0.72674
73.71,0.72428
73.72,0.72655
73.73,0.72472
73.74,0.72696
73.75,0.72656
73.76,0.72643
73.77,0.72817
73.78,0.72564
73.79,0.72617
73.80,0.72696
73.81,0.72800
73.82,0.72824
73.83,0.72656
73.84,0.72800
73.85,0.72760
73.86,0.72692
73.87,0.72777
73.88,0.72887
73.89,0.72720
73.90,0.72864
73.91,0.72867
73.92,0.72757
73.93,0.72824
73.94,0.72795
73.95,0.72671
73.96,0.73028
73.97,0.72869
73.98,0.72676
73.99,0.72740
74.00,0.72749
