l2_pos_deg,ch1_V,ch3_V
3.0000,0.24736,0.24664
6.0000,0.24734,None
9.0000,0.24664,0.24733
12.0000,0.24691,0.24703
15.0000,0.24692,None
18.0000,0.24702,0.24692
21.0000,0.24735,0.24665
24.0000,0.24736,None
27.0000,0.24667,0.24735
30.0000,0.24694,0.24699
33.0000,0.24695,None
36.0000,0.24702,0.24696
39.0000,0.24736,0.24667
42.0000,0.24735,None
45.0000,0.24667,0.24735
48.0000,0.2469,0.247
51.0000,0.24692,None
54.0000,0.24668,0.24732
57.0000,0.2469,0.24701
60.0000,0.24693,None
63.0000,0.24698,0.24692
66.0000,0.24734,0.2466
69.0000,0.24735,None
72.0000,0.24664,0.24731
75.0000,0.2469,0.247
