l2_pos_deg,ch1_V,ch3_V
3.0000,-0.0006,0.14475
6.0000,-0.00061,0.1673
9.0000,-0.0006,0.18843
12.0000,-0.00062,0.2066
15.0000,-0.0006,0.21894
18.0000,-0.00061,0.22814
21.0000,-0.00062,0.23092
24.0000,-0.00062,0.22878
27.0000,-0.00062,0.22164
30.0000,-0.00062,0.20934
33.0000,-0.00062,0.19322
36.0000,-0.00061,0.17329
39.0000,-0.00062,0.14952
42.0000,-0.00061,0.12502
45.0000,-0.00061,0.09988
48.0000,-0.00059,0.07519
51.0000,-0.00059,0.05161
54.0000,-0.00059,0.03087
57.0000,-0.0006,0.01348
60.0000,-0.00058,0.00038
63.0000,-0.00059,-0.00803
66.0000,-0.00059,-0.0113
69.0000,-0.00059,-0.00929
72.0000,-0.00058,-0.00208
75.0000,-0.0006,0.01003
78.0000,-0.00058,0.02644
81.0000,-0.0006,0.04655
84.0000,-0.00059,0.06916
87.0000,-0.0006,0.09359
90.0000,-0.00061,0.1188
