l2_pos_deg,ch1_V,ch3_V
3.0000,1.5622,-0.01166
6.0000,1.79259,-0.01165
9.0000,1.99483,-0.01165
12.0000,2.16364,-0.01165
15.0000,2.29064,-0.01164
18.0000,2.37101,-0.01165
21.0000,2.40117,-0.01165
24.0000,2.37986,-0.01163
27.0000,2.30771,-0.01164
30.0000,2.18893,-0.01164
33.0000,2.02745,-0.01164
36.0000,1.83085,-0.01164
39.0000,1.60588,-0.01165
42.0000,1.36477,-0.01165
45.0000,1.1148,-0.01165
48.0000,0.86844,-0.01166
51.0000,0.63572,-0.01166
54.0000,0.42734,-0.01166
57.0000,0.25309,-0.01165
60.0000,0.12071,-0.01165
63.0000,0.03574,-0.01165
66.0000,0.00245,-0.01165
69.0000,0.02225,-0.01166
72.0000,0.09422,-0.01165
75.0000,0.21487,-0.01165
78.0000,0.37857,-0.01165
81.0000,0.57768,-0.01164
84.0000,0.80339,-0.01164
87.0000,1.04516,-0.01165
90.0000,1.29198,-0.01165
