current_mA,ch1_V,ch3_V
72.01,0.14424,-0.00121
72.02,0.14391,-0.00120
72.03,0.14378,-0.00119
72.04,0.14411,-0.00119
72.05,0.14375,-0.00117
72.06,0.14363,-0.00115
72.07,0.14390,-0.00116
72.08,0.14403,-0.00117
72.09,0.14417,-0.00115
72.10,0.14440,-0.00115
72.11,0.14476,-0.00114
72.12,0.14453,-0.00117
72.13,0.14481,-0.00115
72.14,0.14469,-0.00113
72.15,0.14420,-0.00115
72.16,0.14367,-0.00115
72.17,0.14297,-0.00117
72.18,0.14171,-0.00116
72.19,0.14104,-0.00115
72.20,0.14106,-0.00115
72.21,0.14160,-0.00116
72.22,0.14223,-0.00116
72.23,0.14264,-0.00115
72.24,0.14306,-0.00114
72.25,0.14298,-0.00113
72.26,0.14209,-0.00111
72.27,0.14188,-0.00112
72.28,0.14150,-0.00109
72.29,0.14102,-0.00109
72.30,0.14116,-0.00110
72.31,0.14072,-0.00108
72.32,0.14055,-0.00103
72.33,0.14119,-0.00101
72.34,0.14147,-0.00100
72.35,0.14194,-0.00101
72.36,0.14224,-0.00104
72.37,0.14253,-0.00095
72.38,0.14246,-0.00094
72.39,0.14190,-0.00100
72.40,0.14164,-0.00123
72.41,0.14109,-0.00079
72.42,0.14183,-0.00060
72.43,0.14177,-0.00027
72.44,0.14140,-0.00065
72.45,0.13743,-0.00138
72.46,0.13745,-0.00056
72.47,0.13723,-0.00021
72.48,0.13742,-0.00010
72.49,0.13833,-0.00074
72.50,0.13797,-0.00002
72.51,0.13614,0.00030
72.52,0.13558,-0.00240
72.53,0.13729,0.00321
72.54,0.13524,0.00108
72.55,0.13559,-0.00041
72.56,0.13407,0.00267
72.57,0.13227,-0.00043
72.58,0.12662,0.00511
72.59,0.12391,0.00666
72.60,0.12092,0.03502
72.61,0.11335,0.03648
72.62,0.11151,0.04090
72.63,0.12588,-0.05270
72.64,0.11682,-0.04861
72.65,0.11102,-0.03194
72.66,0.10312,-0.02008
72.67,0.10948,-0.01754
72.68,0.11654,-0.01142
72.69,0.12253,-0.00805
72.70,0.12687,-0.00597
72.71,0.13366,-0.00418
72.72,0.13627,-0.00353
72.73,0.13821,-0.00290
72.74,0.14032,-0.00248
72.75,0.14051,-0.00237
72.76,0.14176,-0.00228
72.77,0.14129,-0.00217
72.78,0.14218,-0.00207
72.79,0.14290,-0.00201
72.80,0.14352,-0.00193
72.81,0.14371,-0.00190
72.82,0.14412,-0.00186
72.83,0.14375,-0.00181
72.84,0.14408,-0.00178
72.85,0.14503,-0.00177
72.86,0.14488,-0.00172
72.87,0.14482,-0.00171
72.88,0.14530,-0.00169
72.89,0.14522,-0.00167
72.90,0.14488,-0.00167
72.91,0.14550,-0.00166
72.92,0.14497,-0.00164
72.93,0.14491,-0.00164
72.94,0.14538,-0.00162
72.95,0.14485,-0.00162
72.96,0.14549,-0.00161
72.97,0.14473,-0.00160
72.98,0.14562,-0.00160
72.99,0.14519,-0.00158
73.00,0.14586,-0.00158
