l2_pos_deg,ch1_V,ch3_V
3.0000,0.24783,0.24781
6.0000,0.24772,0.24791
9.0000,0.24783,0.24789
12.0000,0.24782,0.24784
15.0000,0.24776,0.24789
18.0000,0.24779,0.24788
21.0000,0.24793,0.24789
24.0000,0.24787,0.24789
27.0000,0.2478,0.24789
30.0000,0.24798,0.2478
33.0000,0.24789,0.2479
36.0000,0.24776,0.2479
39.0000,0.24785,0.24786
42.0000,0.24781,0.24791
45.0000,0.24778,0.24787
48.0000,0.24791,0.24791
51.0000,0.24779,0.24784
54.0000,0.2478,0.24787
57.0000,0.24794,0.24791
60.0000,0.24774,0.24793
63.0000,0.2479,0.24784
66.0000,0.24792,0.24789
69.0000,0.24772,0.24791
72.0000,0.24783,0.24792
75.0000,0.2479,0.24783
78.0000,0.24775,0.24788
81.0000,0.24791,0.2478
84.0000,0.24784,0.24791
87.0000,0.2478,0.24781
90.0000,0.24782,0.24787
