current_mA,voltage_V
72.01,0.04851
72.02,0.04851
72.03,0.04841
72.04,0.04850
72.05,0.04851
72.06,0.04854
72.07,0.04857
72.08,0.04864
72.09,0.04845
72.10,0.04830
72.11,0.04835
72.12,0.04832
72.13,0.04849
72.14,0.04824
72.15,0.04832
72.16,0.04838
72.17,0.04853
72.18,0.04849
72.19,0.04847
72.20,0.04841
72.21,0.04840
72.22,0.04876
72.23,0.04867
72.24,0.04885
72.25,0.04878
72.26,0.04876
72.27,0.04870
72.28,0.04855
72.29,0.04838
72.30,0.04842
72.31,0.04865
72.32,0.04850
72.33,0.04877
72.34,0.04848
72.35,0.04851
72.36,0.04829
72.37,0.04854
72.38,0.04869
72.39,0.04879
72.40,0.04827
72.41,0.04848
72.42,0.04834
72.43,0.04837
72.44,0.04846
72.45,0.04842
72.46,0.04886
72.47,0.04863
72.48,0.04869
72.49,0.04877
72.50,0.04869
72.51,0.04831
72.52,0.04864
72.53,0.04860
72.54,0.04842
72.55,0.04843
72.56,0.04855
72.57,0.04850
72.58,0.04853
72.59,0.04847
72.60,0.04838
72.61,0.04853
72.62,0.04852
72.63,0.04859
72.64,0.04871
72.65,0.04852
72.66,0.04822
72.67,0.04838
72.68,0.04825
72.69,0.04858
72.70,0.04826
72.71,0.04824
72.72,0.04837
72.73,0.04849
72.74,0.04838
72.75,0.04807
72.76,0.04824
72.77,0.04868
72.78,0.04847
72.79,0.04831
72.80,0.04820
72.81,0.04801
72.82,0.04821
72.83,0.04832
72.84,0.04856
72.85,0.04751
72.86,0.04597
72.87,0.04602
72.88,0.04673
72.89,0.04807
72.90,0.04861
72.91,0.04876
72.92,0.04928
72.93,0.04919
72.94,0.04944
72.95,0.04924
72.96,0.04915
72.97,0.04933
72.98,0.04916
72.99,0.04952
73.00,0.04961
73.01,0.04930
73.02,0.04916
73.03,0.04925
73.04,0.04936
73.05,0.04955
73.06,0.04932
73.07,0.04971
73.08,0.04963
73.09,0.04935
73.10,0.04927
73.11,0.04935
73.12,0.04928
73.13,0.04939
73.14,0.04927
73.15,0.04939
73.16,0.04957
73.17,0.04946
73.18,0.04937
73.19,0.04953
73.20,0.04980
73.21,0.04968
73.22,0.04961
73.23,0.04937
73.24,0.04957
73.25,0.04934
73.26,0.04944
73.27,0.04952
73.28,0.04982
73.29,0.04992
73.30,0.04952
73.31,0.04972
73.32,0.04966
73.33,0.04949
73.34,0.04966
73.35,0.04959
73.36,0.04982
73.37,0.05001
73.38,0.04989
73.39,0.04987
73.40,0.04983
73.41,0.04975
73.42,0.04991
73.43,0.05003
73.44,0.05012
73.45,0.04995
73.46,0.04999
73.47,0.04982
73.48,0.04963
73.49,0.04969
73.50,0.04983
73.51,0.04969
73.52,0.04980
73.53,0.05001
73.54,0.05003
73.55,0.05012
73.56,0.05002
73.57,0.04996
73.58,0.04974
73.59,0.04993
73.60,0.04998
73.61,0.04998
73.62,0.05017
73.63,0.05014
73.64,0.05020
73.65,0.05042
73.66,0.05029
73.67,0.05031
73.68,0.05036
73.69,0.05020
73.70,0.04985
73.71,0.04978
73.72,0.04989
73.73,0.04994
73.74,0.05008
73.75,0.05007
73.76,0.04997
73.77,0.05005
73.78,0.05001
73.79,0.04992
73.80,0.04994
73.81,0.05000
73.82,0.05011
73.83,0.05013
73.84,0.05004
73.85,0.05010
73.86,0.05046
73.87,0.05029
73.88,0.05044
73.89,0.05059
73.90,0.05037
73.91,0.05007
73.92,0.05006
73.93,0.05021
73.94,0.05008
73.95,0.05004
73.96,0.05039
73.97,0.05030
73.98,0.05007
73.99,0.05010
74.00,0.05034
