current_mA,voltage_V
72.01,0.52181
72.02,0.52137
72.03,0.52211
72.04,0.52153
72.05,0.52134
72.06,0.52236
72.07,0.52160
72.08,0.52111
72.09,0.52168
72.10,0.52160
72.11,0.52268
72.12,0.52334
72.13,0.52335
72.14,0.52138
72.15,0.52007
72.16,0.52084
72.17,0.52194
72.18,0.52213
72.19,0.52147
72.20,0.52183
72.21,0.52128
72.22,0.52221
72.23,0.52107
72.24,0.52221
72.25,0.52392
72.26,0.52452
72.27,0.52340
72.28,0.52396
72.29,0.52510
72.30,0.52294
72.31,0.52622
72.32,0.52789
72.33,0.52770
72.34,0.52877
72.35,0.52853
72.36,0.52601
72.37,0.52209
72.38,0.52039
72.39,0.51969
72.40,0.51901
72.41,0.51986
72.42,0.52161
72.43,0.52154
72.44,0.52326
72.45,0.52468
72.46,0.52345
72.47,0.52028
72.48,0.51904
72.49,0.51820
72.50,0.51761
72.51,0.51571
72.52,0.51509
72.53,0.51598
72.54,0.51686
72.55,0.51856
72.56,0.52207
72.57,0.52214
72.58,0.52192
72.59,0.52333
72.60,0.52182
72.61,0.52160
72.62,0.52086
72.63,0.51893
72.64,0.51601
72.65,0.51235
72.66,0.50708
72.67,0.50469
72.68,0.50498
72.69,0.50508
72.70,0.50584
72.71,0.50906
72.72,0.51706
72.73,0.51706
72.74,0.51847
72.75,0.51767
72.76,0.52306
72.77,0.52741
72.78,0.53118
72.79,0.53363
72.80,0.53612
72.81,0.52364
72.82,0.49819
72.83,0.50458
72.84,0.51613
72.85,0.47935
72.86,0.48196
72.87,0.49286
72.88,0.51183
72.89,0.51722
72.90,0.51717
72.91,0.52004
72.92,0.52580
72.93,0.52751
72.94,0.52742
72.95,0.52873
72.96,0.52957
72.97,0.53001
72.98,0.53106
72.99,0.52956
73.00,0.52925
73.01,0.53098
73.02,0.53100
73.03,0.53161
73.04,0.53040
73.05,0.53184
73.06,0.53062
73.07,0.53116
73.08,0.53253
73.09,0.53073
73.10,0.53102
73.11,0.52923
73.12,0.53144
73.13,0.53258
73.14,0.53332
73.15,0.53139
73.16,0.53308
73.17,0.53156
73.18,0.53274
73.19,0.53235
73.20,0.53312
73.21,0.53372
73.22,0.53308
73.23,0.53120
73.24,0.53374
73.25,0.53367
73.26,0.53256
73.27,0.53315
73.28,0.53234
73.29,0.53513
73.30,0.53455
73.31,0.53261
73.32,0.53415
73.33,0.53441
73.34,0.53430
73.35,0.53480
73.36,0.53339
73.37,0.53199
73.38,0.53413
73.39,0.53564
73.40,0.53244
73.41,0.53175
73.42,0.53507
73.43,0.53463
73.44,0.53220
73.45,0.53493
73.46,0.53348
73.47,0.53608
73.48,0.53487
73.49,0.53635
73.50,0.53560
73.51,0.53552
73.52,0.53582
73.53,0.53645
73.54,0.53546
73.55,0.53424
73.56,0.53710
73.57,0.53413
73.58,0.53449
73.59,0.53463
73.60,0.53654
73.61,0.53690
73.62,0.53617
73.63,0.53674
73.64,0.53643
73.65,0.53457
73.66,0.53601
73.67,0.53629
73.68,0.53433
73.69,0.53323
73.70,0.53629
73.71,0.53639
73.72,0.53615
73.73,0.53524
73.74,0.53692
73.75,0.53587
73.76,0.53727
73.77,0.53686
73.78,0.53487
73.79,0.53626
73.80,0.53572
73.81,0.53734
73.82,0.53793
73.83,0.53794
73.84,0.53725
73.85,0.53775
73.86,0.53674
73.87,0.53699
73.88,0.53901
73.89,0.53835
73.90,0.53874
73.91,0.53846
73.92,0.53910
73.93,0.53921
73.94,0.53868
73.95,0.53771
73.96,0.53846
73.97,0.53866
73.98,0.53942
73.99,0.53894
74.00,0.53976
