l2_pos_deg,ch1_V,ch3_V
3.0000,1.02397,-0.01166
6.0000,1.02397,-0.01164
9.0000,1.02397,-0.01166
12.0000,1.02397,-0.01165
15.0000,1.02397,-0.01165
18.0000,1.02397,-0.01167
21.0000,1.02397,-0.01167
24.0000,1.02397,-0.01166
27.0000,1.02397,-0.01166
30.0000,1.02397,-0.01166
33.0000,1.02397,-0.01165
36.0000,1.02397,-0.01165
39.0000,1.02397,-0.01165
42.0000,1.02397,-0.01166
45.0000,1.02397,-0.01166
48.0000,0.81969,-0.01165
51.0000,0.59984,-0.01166
54.0000,0.40357,-0.01166
57.0000,0.23863,-0.01166
60.0000,0.1132,-0.01165
63.0000,0.03278,-0.01165
66.0000,0.00121,-0.01165
69.0000,0.02005,-0.01165
72.0000,0.08843,-0.01161
75.0000,0.20322,-0.01165
78.0000,0.24787,-0.01165
81.0000,0.00203,-0.01163
84.0000,0.00157,-0.01166
87.0000,0.00115,-0.01166
90.0000,0.00136,-0.01166
