current_mA,voltage_V
72.01,0.56690
72.02,0.56654
72.03,0.56620
72.04,0.56668
72.05,0.56811
72.06,0.56696
72.07,0.56677
72.08,0.56737
72.09,0.56628
72.10,0.56793
72.11,0.56732
72.12,0.56585
72.13,0.56724
72.14,0.56782
72.15,0.56724
72.16,0.56753
72.17,0.56842
72.18,0.56887
72.19,0.56871
72.20,0.56924
72.21,0.56927
72.22,0.56893
72.23,0.56737
72.24,0.56900
72.25,0.56952
72.26,0.56991
72.27,0.56899
72.28,0.56816
72.29,0.57012
72.30,0.57001
72.31,0.57116
72.32,0.57001
72.33,0.57204
72.34,0.57209
72.35,0.57202
72.36,0.56996
72.37,0.56894
72.38,0.56777
72.39,0.56578
72.40,0.56582
72.41,0.56684
72.42,0.56798
72.43,0.56863
72.44,0.56881
72.45,0.56967
72.46,0.57031
72.47,0.56858
72.48,0.56839
72.49,0.56523
72.50,0.56454
72.51,0.56408
72.52,0.56549
72.53,0.56445
72.54,0.56485
72.55,0.56509
72.56,0.56741
72.57,0.56733
72.58,0.56815
72.59,0.56827
72.60,0.56794
72.61,0.56950
72.62,0.56829
72.63,0.56718
72.64,0.56453
72.65,0.56325
72.66,0.56037
72.67,0.55837
72.68,0.55936
72.69,0.56020
72.70,0.55970
72.71,0.56104
72.72,0.56448
72.73,0.56920
72.74,0.56996
72.75,0.56499
72.76,0.56808
72.77,0.57475
72.78,0.57326
72.79,0.57878
72.80,0.58604
72.81,0.58864
72.82,0.57028
72.83,0.55597
72.84,0.54424
72.85,0.53137
72.86,0.54353
72.87,0.55247
72.88,0.56111
72.89,0.56681
72.90,0.56884
72.91,0.56941
72.92,0.57218
72.93,0.57133
72.94,0.57088
72.95,0.57409
72.96,0.57462
72.97,0.57643
72.98,0.57696
72.99,0.57720
73.00,0.57613
73.01,0.57627
73.02,0.57737
73.03,0.57790
73.04,0.57802
73.05,0.57802
73.06,0.57814
73.07,0.57752
73.08,0.57782
73.09,0.57888
73.10,0.57779
73.11,0.57710
73.12,0.57738
73.13,0.57730
73.14,0.57780
73.15,0.57749
73.16,0.57692
73.17,0.57708
73.18,0.57717
73.19,0.57688
73.20,0.57791
73.21,0.57762
73.22,0.57772
73.23,0.57730
73.24,0.57687
73.25,0.57719
73.26,0.57712
73.27,0.57720
73.28,0.57881
73.29,0.57937
73.30,0.57976
73.31,0.57827
73.32,0.57884
73.33,0.57943
73.34,0.57996
73.35,0.58070
73.36,0.57983
73.37,0.57923
73.38,0.57873
73.39,0.57870
73.40,0.58049
73.41,0.57949
73.42,0.57990
73.43,0.58073
73.44,0.58128
73.45,0.58041
73.46,0.58145
73.47,0.58129
73.48,0.57983
73.49,0.58135
73.50,0.58283
73.51,0.58214
73.52,0.57961
73.53,0.57943
73.54,0.57849
73.55,0.57953
73.56,0.58184
73.57,0.58176
73.58,0.58226
73.59,0.58242
73.60,0.58034
73.61,0.58064
73.62,0.57902
73.63,0.58151
73.64,0.58239
73.65,0.58205
73.66,0.58262
73.67,0.58294
73.68,0.58378
73.69,0.58461
73.70,0.58058
73.71,0.57972
73.72,0.58093
73.73,0.58125
73.74,0.58170
73.75,0.58348
73.76,0.58355
73.77,0.58375
73.78,0.58291
73.79,0.58406
73.80,0.58239
73.81,0.58371
73.82,0.58294
73.83,0.58263
73.84,0.58315
73.85,0.58343
73.86,0.58387
73.87,0.58378
73.88,0.58413
73.89,0.58481
73.90,0.58372
73.91,0.58179
73.92,0.58396
73.93,0.58572
73.94,0.58396
73.95,0.58263
73.96,0.58163
73.97,0.58262
73.98,0.58324
73.99,0.58296
74.00,0.58450
