l2_pos_deg,ch1_V,ch3_V
3.0000,0.24672,0.24704
6.0000,0.24668,0.24707
9.0000,0.24668,0.24711
12.0000,0.24664,0.24706
15.0000,0.24665,0.24709
18.0000,0.24669,0.24706
21.0000,0.24672,0.24707
24.0000,0.2467,0.24707
27.0000,0.24669,0.2471
30.0000,0.24664,0.24702
33.0000,0.24666,0.24704
36.0000,0.2467,0.24704
39.0000,0.24669,0.24707
42.0000,0.24668,0.24706
45.0000,0.24666,0.24705
48.0000,0.24667,0.24709
51.0000,0.24673,0.24706
54.0000,0.24667,0.24703
57.0000,0.24664,0.24705
60.0000,0.24669,0.24703
63.0000,0.24672,0.24704
66.0000,0.24666,0.24706
69.0000,0.24669,0.24705
72.0000,0.24671,0.24703
75.0000,0.24666,0.24701
78.0000,0.24665,0.24708
81.0000,0.24666,0.24705
84.0000,0.2467,0.24702
87.0000,0.24665,0.24709
90.0000,0.24665,0.24705
