l2_pos_deg,ch1_V,ch3_V
3.0000,-0.00151,-0.00728
6.0000,-0.0015,-0.00649
9.0000,-0.00151,-0.00597
12.0000,-0.00153,-0.0053
15.0000,-0.00152,-0.00518
18.0000,-0.00153,-0.00487
21.0000,-0.00152,-0.00493
24.0000,-0.00151,-0.00478
27.0000,-0.00151,-0.00501
30.0000,-0.00152,-0.00542
33.0000,-0.00151,-0.00561
36.0000,-0.00153,-0.00627
39.0000,-0.00158,-0.00694
42.0000,-0.00158,-0.00772
45.0000,-0.00156,-0.0084
48.0000,-0.00158,-0.00905
51.0000,-0.00159,-0.00975
54.0000,-0.0016,-0.01034
57.0000,-0.00161,-0.01088
60.0000,-0.0016,-0.01127
63.0000,-0.0016,-0.01153
66.0000,-0.00161,-0.01165
69.0000,-0.00163,-0.01163
