current_mA,ch1_V,ch3_V
72.01,0.19583,-0.00121
72.02,0.19544,-0.00122
72.03,0.19499,-0.00121
72.04,0.19542,-0.00123
72.05,0.19492,-0.00121
72.06,0.19582,-0.00121
72.07,0.19580,-0.00122
72.08,0.19592,-0.00122
72.09,0.19554,-0.00122
72.10,0.19539,-0.00121
72.11,0.19542,-0.00121
72.12,0.19567,-0.00122
72.13,0.19608,-0.00122
72.14,0.19585,-0.00123
72.15,0.19563,-0.00123
72.16,0.19572,-0.00122
72.17,0.19564,-0.00121
72.18,0.19478,-0.00120
72.19,0.19509,-0.00120
72.20,0.19489,-0.00121
72.21,0.19526,-0.00119
72.22,0.19507,-0.00119
72.23,0.19537,-0.00120
72.24,0.19577,-0.00120
72.25,0.19541,-0.00119
72.26,0.19538,-0.00119
72.27,0.19553,-0.00120
72.28,0.19528,-0.00116
72.29,0.19549,-0.00115
72.30,0.19483,-0.00117
72.31,0.19472,-0.00116
72.32,0.19509,-0.00114
72.33,0.19510,-0.00114
72.34,0.19507,-0.00115
72.35,0.19510,-0.00112
72.36,0.19541,-0.00114
72.37,0.19549,-0.00110
72.38,0.19570,-0.00109
72.39,0.19563,-0.00108
72.40,0.19596,-0.00101
72.41,0.19535,-0.00103
72.42,0.19554,-0.00079
72.43,0.19554,-0.00068
72.44,0.19591,-0.00125
72.45,0.19523,-0.00146
72.46,0.19448,-0.00110
72.47,0.19421,-0.00043
72.48,0.19448,-0.00066
72.49,0.19436,-0.00121
72.50,0.19493,-0.00105
72.51,0.19500,0.00012
72.52,0.19372,-0.00162
72.53,0.19457,-0.00177
72.54,0.19585,-0.00116
72.55,0.19645,-0.00061
72.56,0.19607,0.00098
72.57,0.19472,-0.00484
72.58,0.19529,-0.00143
72.59,0.19748,-0.00013
72.60,0.19838,0.00459
72.61,0.19875,0.00963
72.62,0.19134,-0.00409
72.63,0.18900,-0.02129
72.64,0.17774,-0.02697
72.65,0.17792,-0.00779
72.66,0.18256,-0.00467
72.67,0.18696,-0.00318
72.68,0.19072,-0.00242
72.69,0.19343,-0.00208
72.70,0.19367,-0.00196
72.71,0.19490,-0.00174
72.72,0.19576,-0.00168
72.73,0.19633,-0.00162
72.74,0.19664,-0.00157
72.75,0.19610,-0.00154
72.76,0.19648,-0.00151
72.77,0.19699,-0.00147
72.78,0.19699,-0.00146
72.79,0.19703,-0.00145
72.80,0.19682,-0.00144
72.81,0.19745,-0.00145
72.82,0.19682,-0.00143
72.83,0.19712,-0.00143
72.84,0.19778,-0.00142
72.85,0.19634,-0.00143
72.86,0.19761,-0.00142
72.87,0.19799,-0.00141
72.88,0.19727,-0.00141
72.89,0.19733,-0.00139
72.90,0.19717,-0.00140
72.91,0.19734,-0.00139
72.92,0.19777,-0.00138
72.93,0.19732,-0.00137
72.94,0.19778,-0.00139
72.95,0.19782,-0.00139
72.96,0.19724,-0.00138
72.97,0.19746,-0.00136
72.98,0.19723,-0.00138
72.99,0.19754,-0.00138
73.00,0.19844,-0.00137
73.01,0.19822,-0.00137
73.02,0.19768,-0.00135
73.03,0.19779,-0.00135
73.04,0.19810,-0.00136
73.05,0.19810,-0.00134
73.06,0.19809,-0.00134
73.07,0.19710,-0.00133
73.08,0.19726,-0.00133
73.09,0.19747,-0.00135
73.10,0.19821,-0.00134
73.11,0.19823,-0.00135
73.12,0.19772,-0.00134
