current_mA,ch1_V,ch3_V
72.01,0.06618,-0.00127
72.02,0.06614,-0.00126
72.03,0.06597,-0.00127
72.04,0.06596,-0.00126
72.05,0.06600,-0.00127
72.06,0.06609,-0.00127
72.07,0.06608,-0.00127
72.08,0.06620,-0.00128
72.09,0.06617,-0.00126
72.10,0.06631,-0.00128
72.11,0.06616,-0.00127
72.12,0.06595,-0.00127
72.13,0.06612,-0.00126
72.14,0.06628,-0.00126
72.15,0.06621,-0.00128
72.16,0.06611,-0.00125
72.17,0.06566,-0.00127
72.18,0.06576,-0.00127
72.19,0.06560,-0.00127
72.20,0.06572,-0.00127
72.21,0.06572,-0.00126
72.22,0.06592,-0.00127
72.23,0.06594,-0.00126
72.24,0.06592,-0.00127
72.25,0.06543,-0.00126
72.26,0.06572,-0.00126
72.27,0.06568,-0.00127
72.28,0.06571,-0.00126
72.29,0.06571,-0.00126
72.30,0.06576,-0.00126
72.31,0.06573,-0.00124
72.32,0.06558,-0.00124
72.33,0.06566,-0.00124
72.34,0.06590,-0.00124
72.35,0.06595,-0.00122
72.36,0.06607,-0.00123
72.37,0.06601,-0.00122
72.38,0.06592,-0.00123
72.39,0.06584,-0.00123
72.40,0.06589,-0.00131
72.41,0.06575,-0.00116
72.42,0.06576,-0.00107
72.43,0.06586,-0.00097
72.44,0.06590,-0.00123
72.45,0.06574,-0.00132
72.46,0.06546,-0.00118
72.47,0.06537,-0.00104
72.48,0.06529,-0.00120
72.49,0.06559,-0.00111
72.50,0.06564,-0.00117
72.51,0.06556,-0.00066
72.52,0.06520,-0.00371
72.53,0.06513,-0.00143
72.54,0.06611,-0.00138
72.55,0.06591,-0.00096
72.56,0.06500,-0.00241
72.57,0.06488,0.00098
72.58,0.06535,-0.00118
72.59,0.06632,-0.00064
72.60,0.06609,0.00024
72.61,0.06581,0.00153
72.62,0.06190,0.01996
72.63,0.06099,-0.01866
72.64,0.05639,-0.00948
72.65,0.05896,-0.00345
72.66,0.06110,-0.00245
72.67,0.06352,-0.00195
72.68,0.06408,-0.00168
72.69,0.06530,-0.00157
72.70,0.06537,-0.00150
72.71,0.06612,-0.00144
72.72,0.06633,-0.00140
72.73,0.06637,-0.00142
72.74,0.06647,-0.00139
72.75,0.06625,-0.00140
72.76,0.06652,-0.00138
72.77,0.06654,-0.00138
72.78,0.06659,-0.00136
72.79,0.06649,-0.00136
72.80,0.06677,-0.00136
72.81,0.06661,-0.00135
72.82,0.06645,-0.00136
72.83,0.06672,-0.00134
72.84,0.06680,-0.00134
72.85,0.06709,-0.00132
72.86,0.06673,-0.00133
72.87,0.06673,-0.00133
72.88,0.06679,-0.00132
72.89,0.06681,-0.00130
72.90,0.06691,-0.00132
72.91,0.06702,-0.00132
72.92,0.06695,-0.00132
72.93,0.06719,-0.00132
72.94,0.06705,-0.00133
72.95,0.06683,-0.00131
72.96,0.06691,-0.00132
72.97,0.06686,-0.00131
72.98,0.06685,-0.00131
72.99,0.06683,-0.00131
73.00,0.06694,-0.00130
73.01,0.06705,-0.00132
73.02,0.06703,-0.00131
73.03,0.06720,-0.00132
73.04,0.06701,-0.00132
73.05,0.06720,-0.00131
73.06,0.06709,-0.00132
73.07,0.06711,-0.00132
73.08,0.06714,-0.00133
73.09,0.06683,-0.00133
73.10,0.06704,-0.00131
73.11,0.06702,-0.00132
73.12,0.06719,-0.00131
73.13,0.06700,-0.00131
73.14,0.06729,-0.00131
73.15,0.06707,-0.00130
73.16,0.06724,-0.00130
73.17,0.06722,-0.00132
73.18,0.06729,-0.00132
73.19,0.06724,-0.00131
73.20,0.06747,-0.00133
73.21,0.06716,-0.00131
73.22,0.06725,-0.00131
73.23,0.06744,-0.00132
73.24,0.06724,-0.00131
73.25,0.06720,-0.00132
73.26,0.06726,-0.00131
73.27,0.06689,-0.00132
73.28,0.06743,-0.00130
73.29,0.06736,-0.00132
73.30,0.06719,-0.00131
73.31,0.06730,-0.00132
73.32,0.06725,-0.00131
73.33,0.06758,-0.00132
73.34,0.06745,-0.00130
73.35,0.06711,-0.00130
73.36,0.06723,-0.00130
73.37,0.06710,-0.00132
73.38,0.06751,-0.00131
73.39,0.06747,-0.00129
73.40,0.06725,-0.00129
73.41,0.06752,-0.00129
73.42,0.06750,-0.00129
73.43,0.06737,-0.00129
73.44,0.06765,-0.00129
73.45,0.06752,-0.00128
73.46,0.06746,-0.00128
73.47,0.06757,-0.00131
73.48,0.06746,-0.00129
73.49,0.06764,-0.00127
73.50,0.06746,-0.00130
73.51,0.06755,-0.00129
73.52,0.06758,-0.00129
73.53,0.06740,-0.00128
73.54,0.06756,-0.00129
73.55,0.06762,-0.00129
73.56,0.06773,-0.00129
73.57,0.06767,-0.00130
73.58,0.06762,-0.00130
73.59,0.06749,-0.00130
73.60,0.06763,-0.00128
73.61,0.06798,-0.00130
73.62,0.06785,-0.00129
73.63,0.06786,-0.00129
73.64,0.06797,-0.00127
73.65,0.06774,-0.00128
73.66,0.06783,-0.00127
73.67,0.06785,-0.00127
73.68,0.06771,-0.00129
73.69,0.06769,-0.00127
73.70,0.06793,-0.00129
73.71,0.06791,-0.00127
73.72,0.06783,-0.00130
73.73,0.06773,-0.00125
73.74,0.06771,-0.00129
73.75,0.06758,-0.00127
73.76,0.06796,-0.00128
73.77,0.06799,-0.00127
73.78,0.06806,-0.00128
73.79,0.06778,-0.00127
73.80,0.06806,-0.00126
73.81,0.06806,-0.00126
73.82,0.06793,-0.00126
73.83,0.06792,-0.00128
73.84,0.06810,-0.00127
73.85,0.06798,-0.00129
73.86,0.06794,-0.00129
73.87,0.06786,-0.00130
73.88,0.06805,-0.00128
73.89,0.06806,-0.00129
73.90,0.06763,-0.00128
73.91,0.06789,-0.00127
73.92,0.06806,-0.00126
73.93,0.06817,-0.00126
73.94,0.06809,-0.00127
73.95,0.06801,-0.00127
73.96,0.06791,-0.00129
73.97,0.06796,-0.00129
73.98,0.06792,-0.00129
73.99,0.06798,-0.00129
74.00,0.06811,-0.00130
